,Date,Site,Temp,Pop,Brooders,Gaping,Percent,Dead,Closed,Total,Tide
1,5/2/2014,Fidalgo,10,N,0,0,0,0,0,100,-0.84
2,5/16/2014,Fidalgo,9,N,0,53,0,0,46,99,-2.27
3,5/24/2014,Fidalgo,10,N,0,24,0,0,86,110,1.12
4,5/30/2014,Fidalgo,10,N,0,46,0,0,50,96,-1.46
5,6/6/2014,Fidalgo,10,N,1,59,1.694915254,2,36,98.69491525,3.13
6,6/13/2014,Fidalgo,7,N,0,68,0,1,27,96,-2.81
7,6/20/2014,Fidalgo,8,N,0,76,0,0,34,110,2.14
8,6/27/2014,Fidalgo,9,N,1,87,1.149425287,0,6,94.14942529,-1.42
9,7/4/2014,Fidalgo,9,N,1,82,1.219512195,0,13,96.2195122,2.58
10,7/11/2014,Fidalgo,16,N,0,78,0,0,17,95,-2.57
11,7/18/2014,Fidalgo,10,N,0,68,0,0,40,108,2.05
12,7/25/2014,Fidalgo,11,N,0,55,0,0,45,100,-0.78
13,8/1/2014,Fidalgo,10,N,0,28,0,0,68,96,2.39
14,8/8/2014,Fidalgo,11,N,5,89,5.617977528,0,10,104.6179775,-1.66
15,4/30/2014,Manchester,9.5,N,0,0,0,0,0,90,-1.5
16,5/14/2014,Manchester,9,N,0,31,0,0,28,59,-1.63
17,5/21/2014,Manchester,10,N,0,40,0,3,48,91,0.87
18,5/28/2014,Manchester,13,N,0,54,0,15,28,97,-1.83
19,6/4/2014,Manchester,8,N,0,43,0,15,32,90,1.7
20,6/11/2014,Manchester,9,N,0,41,0,8,12,61,-1.75
21,6/18/2014,Manchester,7,N,0,73,0,2,12,87,0.19
22,6/25/2014,Manchester,10,N,1,53,1.886792453,23,19,96.88679245,-1.49
23,7/2/2014,Manchester,10,N,0,40,0,20,18,78,0.94
24,7/9/2014,Manchester,11,N,0,45,0,12,2,59,-1.12
25,7/16/2014,Manchester,10,N,0,61,0,6,8,75,-0.28
26,7/23/2014,Manchester,8,N,0,60,0,10,9,79,-0.6
27,7/30/2014,Manchester,11,N,0,45,0,12,7,64,0.86
