Date,Site,Population,Size
5/29/2014,Oyster Bay,S,36
5/29/2014,Oyster Bay,S,26
5/29/2014,Oyster Bay,S,26
5/29/2014,Oyster Bay,S,25
5/29/2014,Oyster Bay,S,28
5/29/2014,Oyster Bay,H,24
5/29/2014,Oyster Bay,N,27
5/29/2014,Oyster Bay,N,28
6/5/2014,Oyster Bay,S,23
6/5/2014,Oyster Bay,S,29
6/5/2014,Oyster Bay,H,25
6/5/2014,Oyster Bay,H,24
6/5/2014,Oyster Bay,N,30
6/6/2014,Fidalgo,N,31
6/12/2014,Oyster Bay,S,27
6/12/2014,Oyster Bay,S,26
6/12/2014,Oyster Bay,S,19
6/12/2014,Oyster Bay,N,32
6/12/2014,Oyster Bay,N,20
6/12/2014,Oyster Bay,H,19
6/13/2014,Fidalgo,S,30
6/13/2014,Fidalgo,S,26
6/13/2014,Fidalgo,S,26
6/13/2014,Fidalgo,S,25
6/13/2014,Fidalgo,S,26
6/13/2014,Fidalgo,S,28
6/13/2014,Fidalgo,S,25
6/18/2014,Manchester,S,19
6/19/2014,Oyster Bay,N,29
6/19/2014,Oyster Bay,N,26
6/19/2014,Oyster Bay,N,30
6/19/2014,Oyster Bay,S,27
6/19/2014,Oyster Bay,S,22
6/19/2014,Oyster Bay,S,26
6/19/2014,Oyster Bay,S,25
6/19/2014,Oyster Bay,S,26
6/19/2014,Oyster Bay,S,28
6/19/2014,Oyster Bay,S,31
6/19/2014,Oyster Bay,S,33
6/19/2014,Oyster Bay,S,22
6/19/2014,Oyster Bay,S,21
6/19/2014,Oyster Bay,S,29
6/20/2014,Fidalgo,S,27
6/25/2014,Manchester,N,25
6/25/2014,Manchester,H,15
6/26/2014,Oyster Bay,N,25
6/26/2014,Oyster Bay,N,31
6/26/2014,Oyster Bay,H,27
6/26/2014,Oyster Bay,S,29
6/26/2014,Oyster Bay,S,25
6/26/2014,Oyster Bay,S,28
6/26/2014,Oyster Bay,S,30
6/26/2014,Oyster Bay,S,26
6/26/2014,Oyster Bay,S,30
6/26/2014,Oyster Bay,S,25
6/26/2014,Oyster Bay,S,26
6/26/2014,Oyster Bay,S,28
6/26/2014,Oyster Bay,S,31
6/26/2014,Oyster Bay,S,27
6/26/2014,Oyster Bay,N,31
6/26/2014,Oyster Bay,N,29
6/26/2014,Oyster Bay,N,36
6/26/2014,Oyster Bay,N,28
6/26/2014,Oyster Bay,N,30
6/27/2014,Fidalgo,S,27
6/27/2014,Fidalgo,S,25
6/27/2014,Fidalgo,S,26
6/27/2014,Fidalgo,N,31
7/3/2014,Oyster Bay,H,25
7/3/2014,Oyster Bay,H,26
7/3/2014,Oyster Bay,H,25
7/3/2014,Oyster Bay,S,26
7/3/2014,Oyster Bay,S,28
7/3/2014,Oyster Bay,S,26
7/3/2014,Oyster Bay,S,30
7/3/2014,Oyster Bay,S,39
7/3/2014,Oyster Bay,S,25
7/3/2014,Oyster Bay,S,28
7/3/2014,Oyster Bay,S,29
7/3/2014,Oyster Bay,S,25
7/4/2014,Fidalgo,H,23
7/4/2014,Fidalgo,S,30
