Date,Time,Temp
8/21/2013,16:53,15.855
8/21/2013,17:08,15.855
8/21/2013,17:23,15.76
8/21/2013,17:38,15.664
8/21/2013,17:53,15.378
8/21/2013,18:08,15.473
8/21/2013,18:23,15.569
8/21/2013,18:38,15.378
8/21/2013,18:53,15.282
8/21/2013,19:08,15.282
8/21/2013,19:23,15.187
8/21/2013,19:38,15.187
8/21/2013,19:53,15.187
8/21/2013,20:08,15.187
8/21/2013,20:23,15.282
8/21/2013,20:38,15.378
8/21/2013,20:53,15.569
8/21/2013,21:08,15.951
8/21/2013,21:23,16.713
8/21/2013,21:38,16.713
8/21/2013,21:53,16.618
8/21/2013,22:08,16.713
8/21/2013,22:23,16.903
8/21/2013,22:38,16.713
8/21/2013,22:53,16.618
8/21/2013,23:08,16.523
8/21/2013,23:23,16.427
8/21/2013,23:38,16.332
8/21/2013,23:53,16.046
8/22/2013,0:08,15.855
8/22/2013,0:23,15.664
8/22/2013,0:38,15.473
8/22/2013,0:53,15.282
8/22/2013,1:08,14.996
8/22/2013,1:23,14.804
8/22/2013,1:38,14.709
8/22/2013,1:53,14.613
8/22/2013,2:08,14.517
8/22/2013,2:23,14.325
8/22/2013,2:38,15.76
8/22/2013,2:53,15.187
8/22/2013,3:08,14.325
8/22/2013,3:23,14.325
8/22/2013,3:38,14.421
8/22/2013,3:53,14.325
8/22/2013,4:08,14.421
8/22/2013,4:23,14.325
8/22/2013,4:38,14.134
8/22/2013,4:53,14.134
8/22/2013,5:08,14.134
8/22/2013,5:23,14.134
8/22/2013,5:38,14.23
8/22/2013,5:53,14.134
8/22/2013,6:08,14.134
8/22/2013,6:23,14.134
8/22/2013,6:38,14.134
8/22/2013,6:53,14.134
8/22/2013,7:08,14.134
8/22/2013,7:23,14.134
8/22/2013,7:38,14.134
8/22/2013,7:53,14.325
8/22/2013,8:08,14.517
8/22/2013,8:23,14.613
8/22/2013,8:38,14.613
8/22/2013,8:53,14.804
8/22/2013,9:08,14.9
8/22/2013,9:23,15.091
8/22/2013,9:38,15.378
8/22/2013,9:53,15.76
8/22/2013,10:08,16.237
8/22/2013,10:23,16.999
8/22/2013,10:38,17.855
8/22/2013,10:53,18.426
8/22/2013,11:08,19.472
8/22/2013,11:23,20.805
8/22/2013,11:38,21.473
8/22/2013,11:53,22.238
8/22/2013,12:08,22.717
8/22/2013,12:23,22.812
8/22/2013,12:38,22.525
8/22/2013,12:53,22.621
8/22/2013,13:08,22.717
8/22/2013,13:23,22.812
8/22/2013,13:38,22.717
8/22/2013,13:53,23.196
8/22/2013,14:08,24.255
8/22/2013,14:23,24.835
8/22/2013,14:38,25.513
8/22/2013,14:53,25.902
8/22/2013,15:08,26.39
8/22/2013,15:23,23.966
8/22/2013,15:38,19.758
8/22/2013,15:53,16.332
8/22/2013,16:08,15.951
8/22/2013,16:23,16.237
8/22/2013,16:38,16.046
8/22/2013,16:53,16.332
8/22/2013,17:08,15.569
8/22/2013,17:23,15.378
8/22/2013,17:38,15.378
8/22/2013,17:53,14.996
8/22/2013,18:08,14.996
8/22/2013,18:23,14.996
8/22/2013,18:38,15.091
8/22/2013,18:53,15.091
8/22/2013,19:08,15.091
8/22/2013,19:23,15.187
8/22/2013,19:38,15.187
8/22/2013,19:53,14.996
8/22/2013,20:08,14.996
8/22/2013,20:23,14.996
8/22/2013,20:38,15.187
8/22/2013,20:53,15.187
8/22/2013,21:08,15.282
8/22/2013,21:23,15.664
8/22/2013,21:38,15.951
8/22/2013,21:53,15.76
8/22/2013,22:08,15.76
8/22/2013,22:23,15.76
8/22/2013,22:38,15.76
8/22/2013,22:53,15.76
8/22/2013,23:08,15.855
8/22/2013,23:23,15.951
8/22/2013,23:38,15.951
8/22/2013,23:53,16.046
8/23/2013,0:08,16.046
8/23/2013,0:23,15.951
8/23/2013,0:38,15.951
8/23/2013,0:53,15.855
8/23/2013,1:08,15.855
8/23/2013,1:23,15.76
8/23/2013,1:38,15.76
8/23/2013,1:53,15.664
8/23/2013,2:08,15.664
8/23/2013,2:23,15.569
8/23/2013,2:38,15.569
8/23/2013,2:53,15.473
8/23/2013,3:08,15.473
8/23/2013,3:23,15.664
8/23/2013,3:38,15.569
8/23/2013,3:53,15.378
8/23/2013,4:08,15.282
8/23/2013,4:23,15.187
8/23/2013,4:38,15.378
8/23/2013,4:53,15.378
8/23/2013,5:08,15.378
8/23/2013,5:23,15.473
8/23/2013,5:38,15.664
8/23/2013,5:53,15.664
8/23/2013,6:08,15.569
8/23/2013,6:23,15.569
8/23/2013,6:38,15.664
8/23/2013,6:53,15.664
8/23/2013,7:08,15.664
8/23/2013,7:23,15.76
8/23/2013,7:38,15.76
8/23/2013,7:53,15.664
8/23/2013,8:08,15.569
8/23/2013,8:23,15.569
8/23/2013,8:38,15.569
8/23/2013,8:53,15.569
8/23/2013,9:08,15.569
8/23/2013,9:23,15.569
8/23/2013,9:38,15.664
8/23/2013,9:53,15.664
8/23/2013,10:08,15.664
8/23/2013,10:23,15.664
8/23/2013,10:38,15.76
8/23/2013,10:53,15.76
8/23/2013,11:08,15.951
8/23/2013,11:23,16.046
8/23/2013,11:38,16.618
8/23/2013,11:53,17.284
8/23/2013,12:08,18.14
8/23/2013,12:23,18.806
8/23/2013,12:38,19.472
8/23/2013,12:53,19.567
8/23/2013,13:08,19.567
8/23/2013,13:23,19.662
8/23/2013,13:38,20.234
8/23/2013,13:53,20.615
8/23/2013,14:08,20.71
8/23/2013,14:23,21.091
8/23/2013,14:38,21.569
8/23/2013,14:53,21.855
8/23/2013,15:08,21.951
8/23/2013,15:23,21.76
8/23/2013,15:38,21.855
8/23/2013,15:53,20.234
8/23/2013,16:08,19.662
8/23/2013,16:23,18.236
8/23/2013,16:38,18.236
8/23/2013,16:53,18.426
8/23/2013,17:08,18.331
8/23/2013,17:23,18.14
8/23/2013,17:38,17.855
8/23/2013,17:53,17.76
8/23/2013,18:08,17.76
8/23/2013,18:23,17.76
8/23/2013,18:38,17.76
8/23/2013,18:53,17.665
8/23/2013,19:08,17.665
8/23/2013,19:23,17.665
8/23/2013,19:38,17.665
8/23/2013,19:53,17.57
8/23/2013,20:08,17.665
8/23/2013,20:23,17.665
8/23/2013,20:38,17.665
8/23/2013,20:53,17.57
8/23/2013,21:08,17.57
8/23/2013,21:23,17.57
8/23/2013,21:38,17.57
8/23/2013,21:53,17.665
8/23/2013,22:08,17.95
8/23/2013,22:23,17.95
8/23/2013,22:38,17.95
8/23/2013,22:53,17.95
8/23/2013,23:08,18.045
8/23/2013,23:23,18.045
8/23/2013,23:38,18.14
8/23/2013,23:53,18.14
8/24/2013,0:08,18.14
8/24/2013,0:23,18.045
8/24/2013,0:38,18.14
8/24/2013,0:53,18.045
8/24/2013,1:08,17.95
8/24/2013,1:23,17.95
8/24/2013,1:38,17.855
8/24/2013,1:53,17.76
