Date,Pop,Tray,Shell Number,Drill 1 Shell,Drill 2 shell,No Drill 1,No Drill 2
12/17/2013,N,5-8,1,,1,,
12/17/2013,N,5-8,2,1,,,
12/17/2013,N,5-8,3,1,,,
12/17/2013,N,5-8,4,,1,,
12/17/2013,N,5-8,5,,1,,
12/17/2013,N,5-8,6,1,,,
12/17/2013,N,5-8,7,,1,,
12/17/2013,N,5-8,8,1,,,
12/17/2013,N,5-8,9,,1,,
12/17/2013,N,5-8,10,1,,,
12/17/2013,N,5-8,11,,1,,
12/17/2013,N,5-8,12,,1,,
12/17/2013,N,5-8,13,,1,,
12/17/2013,N,5-8,14,1,,,
12/17/2013,N,5-8,15,1,,,
12/17/2013,N,5-8,16,,1,,
12/17/2013,N,5-8,17,,1,,
12/17/2013,N,5-8,18,,1,,
12/17/2013,N,5-8,19,1,,,
12/17/2013,N,5-8,20,1,,,
12/17/2013,N,5-8,21,1,,,
12/17/2013,N,5-8,22,,,1,
12/17/2013,N,5-8,23,,,,1
12/17/2013,N,5-8,24,,,1,
12/17/2013,N,5-8,25,,,,1
12/17/2013,N,5-8,26,,,1,
12/17/2013,N,5-8,27,,,,1
12/17/2013,N,5-8,28,,,1,
12/17/2013,N,5-8,29,,,,1
12/17/2013,N,5-8,30,,,1,
12/17/2013,N,5-8,31,,,1,
12/17/2013,N,5-8,32,,,1,
12/17/2013,N,5-8,33,,,1,
12/17/2013,N,5-8,34,,,1,
12/17/2013,N,5-8,35,,,,1
12/17/2013,N,5-8,36,,,1,
12/17/2013,N,5-8,37,,,,1
12/17/2013,N,5-8,38,,,1,
12/17/2013,N,5-8,39,,,1,
12/17/2013,N,1-4,1,1,,,
12/17/2013,N,1-4,2,,1,,
12/17/2013,N,1-4,3,1,,,
12/17/2013,N,1-4,4,,1,,
12/17/2013,N,1-4,5,,1,,
12/17/2013,N,1-4,6,1,,,
12/17/2013,N,1-4,7,1,,,
12/17/2013,N,1-4,8,1,,,
12/17/2013,N,1-4,9,1,,,
12/17/2013,N,1-4,10,1,,,
12/17/2013,N,1-4,11,,1,,
12/17/2013,N,1-4,12,,1,,
12/17/2013,N,1-4,13,1,,,
12/17/2013,N,1-4,14,1,,,
12/17/2013,N,1-4,15,1,,,
12/17/2013,N,1-4,16,,1,,
12/17/2013,N,1-4,17,,1,,
12/17/2013,N,1-4,18,1,,,
12/17/2013,N,1-4,19,1,,,
12/17/2013,N,1-4,20,1,,,
12/17/2013,N,1-4,21,1,,,
12/17/2013,N,1-4,22,1,,,
12/17/2013,N,1-4,23,1,,,
12/17/2013,N,1-4,24,,1,,
12/17/2013,N,1-4,25,1,,,
12/17/2013,N,1-4,26,1,,,
12/17/2013,N,1-4,27,1,,,
12/17/2013,N,1-4,28,,1,,
12/17/2013,N,1-4,29,1,,,
12/17/2013,N,1-4,30,1,,,
12/17/2013,N,1-4,31,,1,,
12/17/2013,N,1-4,32,,1,,
12/17/2013,N,1-4,33,,1,,
12/17/2013,N,1-4,34,1,,,
12/17/2013,N,1-4,35,1,,,
12/17/2013,N,1-4,36,1,,,
12/17/2013,N,1-4,37,1,,,
12/17/2013,N,1-4,38,1,,,
12/17/2013,N,1-4,39,1,,,
12/17/2013,N,1-4,40,,1,,
12/17/2013,N,1-4,41,,1,,
12/17/2013,N,1-4,42,,1,,
12/17/2013,N,1-4,43,1,,,
12/17/2013,N,1-4,44,,1,,
12/17/2013,N,1-4,45,,1,,
12/17/2013,N,1-4,46,1,,,
12/17/2013,N,1-4,47,1,,,
12/17/2013,N,1-4,48,1,,,
12/17/2013,N,1-4,49,1,,,
12/17/2013,N,1-4,50,,1,,
12/17/2013,N,1-4,51,,1,,
12/17/2013,N,1-4,52,1,,,
12/17/2013,N,1-4,53,1,,,
12/17/2013,N,1-4,54,,,1,
12/17/2013,N,1-4,55,,,1,
12/17/2013,N,1-4,56,,,1,
12/17/2013,N,1-4,57,,,1,
12/17/2013,N,1-4,58,,,1,
12/17/2013,N,1-4,59,,,1,
12/17/2013,N,1-4,60,,,1,
12/17/2013,N,1-4,61,,,1,
12/17/2013,N,1-4,62,,,1,
12/17/2013,N,1-4,63,,,1,
12/17/2013,N,1-4,64,,,1,
12/17/2013,N,1-4,65,,,,1
12/17/2013,N,1-4,66,,,1,
12/17/2013,N,1-4,67,,,1,
12/17/2013,N,1-4,68,,,,1
12/17/2013,N,1-4,69,,,1,
12/17/2013,N,1-4,70,,,1,
12/17/2013,N,1-4,71,,,1,
12/17/2013,N,1-4,72,,,,1
12/17/2013,N,1-4,73,,,1,
12/17/2013,N,1-4,74,,,1,
12/17/2013,N,1-4,75,,,1,
12/17/2013,N,1-4,76,,,1,
12/17/2013,N,1-4,77,,,1,
12/17/2013,N,1-4,78,,,1,
12/17/2013,N,1-4,79,,,1,
12/17/2013,N,1-4,80,,,1,
12/17/2013,N,1-4,81,,,,1
12/17/2013,N,1-4,82,,,1,
12/17/2013,N,1-4,83,,,1,
12/17/2013,N,1-4,84,,,1,
12/17/2013,N,1-4,85,,,1,
12/17/2013,N,1-4,86,,,1,
12/17/2013,N,1-4,87,,,1,
12/17/2013,N,1-4,88,,,1,
12/17/2013,N,1-4,89,,,1,
12/17/2013,N,1-4,90,,,,1
12/17/2013,N,9-12,1,1,,,
12/17/2013,N,9-12,2,1,,,
12/17/2013,N,9-12,3,1,,,
12/17/2013,N,9-12,4,1,,,
12/17/2013,N,9-12,5,,1,,
12/17/2013,N,9-12,6,,1,,
12/17/2013,N,9-12,7,,1,,
12/17/2013,N,9-12,8,1,,,
12/17/2013,N,9-12,9,1,,,
12/17/2013,N,9-12,10,,1,,
12/17/2013,N,9-12,11,,1,,
12/17/2013,N,9-12,12,,1,,
12/17/2013,N,9-12,13,1,,,
12/17/2013,N,9-12,14,,1,,
12/17/2013,N,9-12,15,,1,,
12/17/2013,N,9-12,16,,1,,
12/17/2013,N,9-12,17,,1,,
12/17/2013,N,9-12,18,1,,,
12/17/2013,N,9-12,19,1,,,
12/17/2013,N,9-12,20,1,,,
12/17/2013,N,9-12,21,1,,,
12/17/2013,N,9-12,22,1,,,
12/17/2013,N,9-12,23,1,,,
12/17/2013,N,9-12,24,1,,,
12/17/2013,N,9-12,25,1,,,
12/17/2013,N,9-12,26,1,,,
12/17/2013,N,9-12,27,,1,,
12/17/2013,N,9-12,28,,1,,
12/17/2013,N,9-12,29,,1,,
12/17/2013,N,9-12,30,1,,,
12/17/2013,N,9-12,31,1,,,
12/17/2013,N,9-12,32,,1,,
12/17/2013,N,9-12,33,1,,,
12/17/2013,N,9-12,34,,1,,
12/17/2013,N,9-12,35,1,,,
12/17/2013,N,9-12,36,1,,,
12/17/2013,N,9-12,37,1,,,
12/17/2013,N,9-12,38,1,,,
12/17/2013,N,9-12,39,,,1,
12/17/2013,N,9-12,40,,,1,
12/17/2013,N,9-12,41,,,,1
12/17/2013,N,9-12,42,,,1,
12/17/2013,N,9-12,43,,,1,
12/17/2013,N,9-12,44,,,1,
12/17/2013,N,9-12,45,,,1,
12/17/2013,N,9-12,46,,,1,
12/17/2013,N,9-12,47,,,,1
12/17/2013,N,9-12,48,,,,1
12/17/2013,N,9-12,49,,,1,
12/17/2013,N,9-12,50,,,1,
12/17/2013,N,9-12,51,,,,1
12/17/2013,N,9-12,52,,,1,
12/17/2013,N,9-12,53,,,1,
12/17/2013,N,9-12,54,,,1,
12/17/2013,N,9-12,55,,,1,
12/17/2013,N,9-12,56,,,,1
12/17/2013,N,9-12,57,,,,1
12/17/2013,N,9-12,58,,,1,
12/17/2013,N,9-12,59,,,1,
12/17/2013,N,9-12,60,,,1,
12/17/2013,N,9-12,61,,,1,
12/17/2013,N,9-12,62,,,1,
12/17/2013,N,9-12,63,,,1,
12/17/2013,N,9-12,64,,,1,
12/17/2013,N,9-12,65,,,,1
12/17/2013,N,9-12,66,,,1,
12/17/2013,N,9-12,67,,,,1
12/17/2013,N,9-12,68,,,1,
12/17/2013,N,9-12,69,,,1,
12/17/2013,N,9-12,70,,,1,
12/17/2013,N,9-12,71,,,,1
