Date,Site,Tray,Pop,Tray2,Number,Area ,Length mm
2/26/2014,Oyster Bay,1N 1-4,,,1,101,24.440140
2/26/2014,Oyster Bay,1N 1-4,,,2,80,19.358527
2/26/2014,Oyster Bay,1N 1-4,,,3,68,16.454748
2/26/2014,Oyster Bay,1N 1-4,,,4,68,16.454748
2/26/2014,Oyster Bay,1N 1-4,,,5,96,23.230232
2/26/2014,Oyster Bay,1N 1-4,,,6,115,27.827882
2/26/2014,Oyster Bay,1N 1-4,,,7,79,19.116545
2/26/2014,Oyster Bay,1N 1-4,,,8,84,20.326453
2/26/2014,Oyster Bay,1N 1-4,,,9,100,24.198158
2/26/2014,Oyster Bay,1N 1-4,,,10,87,21.052398
2/26/2014,Oyster Bay,1N 1-4,,,11,122,29.521753
2/26/2014,Oyster Bay,1N 1-4,,,12,102,24.682121
2/26/2014,Oyster Bay,1N 1-4,,,13,106,25.650048
2/26/2014,Oyster Bay,1N 1-4,,,14,104,25.166084
2/26/2014,Oyster Bay,1N 1-4,,,15,105,25.408066
2/26/2014,Oyster Bay,1N 1-4,,,16,125,30.247698
2/26/2014,Oyster Bay,1N 1-4,,,17,98,23.714195
2/26/2014,Oyster Bay,1N 1-4,,,18,99,23.956177
2/26/2014,Oyster Bay,1N 1-4,,,19,123,29.763735
2/26/2014,Oyster Bay,1N 1-4,,,20,70,16.938711
2/26/2014,Oyster Bay,1N 1-4,,,21,124,30.005716
2/26/2014,Oyster Bay,1N 1-4,,,22,72,17.422674
2/26/2014,Oyster Bay,1N 1-4,,,23,59,14.276913
2/26/2014,Oyster Bay,1N 1-4,,,24,127,30.731661
2/26/2014,Oyster Bay,1N 1-4,,,25,61,14.760876
2/26/2014,Oyster Bay,1N 1-4,,,26,107,25.892029
2/26/2014,Oyster Bay,1N 1-4,,,27,118,28.553827
2/26/2014,Oyster Bay,1N 1-4,,,28,96,23.230232
2/26/2014,Oyster Bay,1N 1-4,,,29,73,17.664655
2/26/2014,Oyster Bay,1N 1-4,,,30,82,19.842490
2/26/2014,Oyster Bay,1N 1-4,,,31,63,15.244840
2/26/2014,Oyster Bay,1N 1-4,,,32,86,20.810416
2/26/2014,Oyster Bay,1N 1-4,,,33,70,16.938711
2/26/2014,Oyster Bay,1N 1-4,,,34,79,19.116545
2/26/2014,Oyster Bay,1N 1-4,,,35,69,16.696729
2/26/2014,Oyster Bay,1N 1-4,,,36,55,13.308987
2/26/2014,Oyster Bay,1N 1-4,,,37,106,25.650048
2/26/2014,Oyster Bay,1N 1-4,,,38,92,22.262305
2/26/2014,Oyster Bay,1N 1-4,,,39,93,22.504287
2/26/2014,Oyster Bay,1N 1-4,,,40,70,16.938711
2/26/2014,Oyster Bay,1N 1-4,,,41,108,26.134011
2/26/2014,Oyster Bay,1N 1-4,,,42,107,25.892029
2/26/2014,Oyster Bay,1N 1-4,,,43,61,14.760876
2/26/2014,Oyster Bay,1N 1-4,,,44,101,24.440140
2/26/2014,Oyster Bay,1N 1-4,,,45,94,22.746269
2/26/2014,Oyster Bay,1N 1-4,,,46,83,20.084471
2/26/2014,Oyster Bay,1N 1-4,,,47,67,16.212766
2/26/2014,Oyster Bay,1N 1-4,,,48,97,23.472213
2/26/2014,Oyster Bay,1N 1-4,,,49,70,16.938711
2/26/2014,Oyster Bay,1N 1-4,,,50,82,19.842490
2/26/2014,Oyster Bay,1N 1-4,,,51,71,17.180692
2/26/2014,Oyster Bay,1N 1-4,,,52,60,14.518895
2/26/2014,Oyster Bay,1N 1-4,,,53,104,25.166084
2/26/2014,Oyster Bay,1N 1-4,,,54,68,16.454748
2/26/2014,Oyster Bay,1N 1-4,,,55,110,26.617974
2/26/2014,Oyster Bay,1N 1-4,,,56,84,20.326453
2/26/2014,Oyster Bay,1N 1-4,,,57,91,22.020324
2/26/2014,Oyster Bay,1N 1-4,,,58,97,23.472213
2/26/2014,Oyster Bay,1N 1-4,,,59,87,21.052398
2/26/2014,Oyster Bay,1N 1-4,,,60,90,21.778342
2/26/2014,Oyster Bay,1N 1-4,,,61,99,23.956177
2/26/2014,Oyster Bay,1N 1-4,,,62,110,26.617974
2/26/2014,Oyster Bay,1N 1-4,,,63,61,14.760876
2/26/2014,Oyster Bay,1N 1-4,,,64,114,27.585900
2/26/2014,Oyster Bay,1N 1-4,,,65,89,21.536361
2/26/2014,Oyster Bay,1N 1-4,,,66,122,29.521753
2/26/2014,Oyster Bay,1N 1-4,,,67,130,31.457606
2/26/2014,Oyster Bay,1N 1-4,,,68,130,31.457606
2/26/2014,Oyster Bay,1N 1-4,,,69,140,33.877421
2/26/2014,Oyster Bay,1N 1-4,,,70,95,22.988250
2/26/2014,Oyster Bay,1N 1-4,,,71,78,18.874563
2/26/2014,Oyster Bay,1N 1-4,,,72,81,19.600508
2/26/2014,Oyster Bay,1N 1-4,,,73,59,14.276913
2/26/2014,Oyster Bay,1N 1-4,,,74,79,19.116545
2/26/2014,Oyster Bay,1N 1-4,,,75,163,39.442998
2/26/2014,Oyster Bay,1N 1-4,,,76,93,22.504287
2/26/2014,Oyster Bay,1N 1-4,,,77,89,21.536361
2/26/2014,Oyster Bay,1N 1-4,,,78,101,24.440140
2/26/2014,Oyster Bay,1N 1-4,,,79,64,15.486821
2/26/2014,Oyster Bay,1N 1-4,,,80,119,28.795808
2/26/2014,Oyster Bay,1N 1-4,,,81,69,16.696729
2/26/2014,Oyster Bay,1N 1-4,,,82,70,16.938711
2/28/2014,Fidalgo,2S 5-8,,,1,121,20.344660
2/28/2014,Fidalgo,2S 5-8,,,2,107,17.990733
2/28/2014,Fidalgo,2S 5-8,,,3,104,17.486320
2/28/2014,Fidalgo,2S 5-8,,,4,133,22.362312
2/28/2014,Fidalgo,2S 5-8,,,5,70,11.769638
2/28/2014,Fidalgo,2S 5-8,,,6,84,14.123566
2/28/2014,Fidalgo,2S 5-8,,,7,108,18.158870
2/28/2014,Fidalgo,2S 5-8,,,8,185,31.105472
2/28/2014,Fidalgo,2S 5-8,,,9,113,18.999559
2/28/2014,Fidalgo,2S 5-8,,,10,132,22.194175
2/28/2014,Fidalgo,2S 5-8,,,11,166,27.910856
2/28/2014,Fidalgo,2S 5-8,,,12,149,25.052515
2/28/2014,Fidalgo,2S 5-8,,,13,78,13.114740
2/28/2014,Fidalgo,2S 5-8,,,14,152,25.556929
2/28/2014,Fidalgo,2S 5-8,,,15,178,29.928508
2/28/2014,Fidalgo,2S 5-8,,,16,50,8.406884
2/28/2014,Fidalgo,2S 5-8,,,17,194,32.618711
2/28/2014,Fidalgo,2S 5-8,,,18,118,19.840247
2/28/2014,Fidalgo,2S 5-8,,,19,111,18.663283
2/28/2014,Fidalgo,2S 5-8,,,20,57,9.583848
2/28/2014,Fidalgo,2S 5-8,,,21,126,21.185349
2/28/2014,Fidalgo,2S 5-8,,,22,137,23.034863
2/28/2014,Fidalgo,2S 5-8,,,23,137,23.034863
2/28/2014,Fidalgo,2S 5-8,,,24,158,26.565755
2/28/2014,Fidalgo,2S 5-8,,,25,144,24.211827
2/28/2014,Fidalgo,2S 5-8,,,26,149,25.052515
2/28/2014,Fidalgo,2S 5-8,,,27,110,18.495146
2/28/2014,Fidalgo,2S 5-8,,,28,130,21.857899
2/28/2014,Fidalgo,2S 5-8,,,29,66,11.097087
2/28/2014,Fidalgo,2S 5-8,,,30,127,21.353486
2/28/2014,Fidalgo,2S 5-8,,,31,126,21.185349
2/28/2014,Fidalgo,2S 5-8,,,32,94,15.804943
2/28/2014,Fidalgo,2S 5-8,,,33,103,17.318182
2/28/2014,Fidalgo,2S 5-8,,,34,131,22.026037
2/28/2014,Fidalgo,2S 5-8,,,35,154,25.893204
2/28/2014,Fidalgo,2S 5-8,,,36,130,21.857899
2/28/2014,Fidalgo,2S 5-8,,,37,142,23.875552
2/28/2014,Fidalgo,2S 5-8,,,38,133,22.362312
2/28/2014,Fidalgo,2S 5-8,,,39,117,19.672109
2/28/2014,Fidalgo,2S 5-8,,,40,111,18.663283
2/28/2014,Fidalgo,2S 5-8,,,41,135,22.698588
2/28/2014,Fidalgo,2S 5-8,,,42,148,24.884378
2/28/2014,Fidalgo,2S 5-8,,,43,134,22.530450
2/28/2014,Fidalgo,2S 5-8,,,44,165,27.742718
2/28/2014,Fidalgo,2S 5-8,,,45,144,24.211827
2/28/2014,Fidalgo,2S 5-8,,,46,167,28.078994
2/28/2014,Fidalgo,2S 5-8,,,47,160,26.902030
2/28/2014,Fidalgo,2S 5-8,,,48,98,16.477493
2/28/2014,Fidalgo,2S 5-8,,,49,69,11.601500
2/28/2014,Fidalgo,2S 5-8,,,50,153,25.725066
2/28/2014,Fidalgo,2S 5-8,,,51,162,27.238305
2/28/2014,Fidalgo,2S 5-8,,,52,91,15.300530
2/28/2014,Fidalgo,2S 5-8,,,53,55,9.247573
2/28/2014,Fidalgo,2S 5-8,,,54,159,26.733892
2/28/2014,Fidalgo,2S 5-8,,,55,123,20.680936
2/28/2014,Fidalgo,2S 5-8,,,56,102,17.150044
2/28/2014,Fidalgo,2S 5-8,,,57,147,24.716240
2/28/2014,Fidalgo,2S 5-8,,,58,197,33.123124
2/28/2014,Fidalgo,2S 5-8,,,59,126,21.185349
2/28/2014,Fidalgo,2S 5-8,,,60,163,27.406443
2/28/2014,Fidalgo,2S 5-8,,,61,171,28.751545
2/28/2014,Fidalgo,2S 5-8,,,62,176,29.592233
2/28/2014,Fidalgo,2S 5-8,,,63,151,25.388791
2/28/2014,Fidalgo,2S 5-8,,,64,171,28.751545
2/28/2014,Fidalgo,2S 5-8,,,65,187,31.441748
2/28/2014,Fidalgo,2S 5-8,,,66,179,30.096646
2/28/2014,Fidalgo,2S 5-8,,,67,146,24.548102
2/28/2014,Fidalgo,2S 5-8,,,68,127,21.353486
2/28/2014,Fidalgo,2S 5-8,,,69,126,21.185349
2/28/2014,Fidalgo,2S 5-8,,,70,136,22.866726
2/28/2014,Fidalgo,2S 5-8,,,71,176,29.592233
2/28/2014,Fidalgo,2S 5-8,,,72,76,12.778464
2/28/2014,Fidalgo,2S 5-8,,,73,149,25.052515
2/28/2014,Fidalgo,2S 5-8,,,74,165,27.742718
2/28/2014,Fidalgo,2S 5-8,,,75,119,20.008385
2/28/2014,Fidalgo,2S 5-8,,,76,96,16.141218
2/28/2014,Fidalgo,2S 5-8,,,77,124,20.849073
2/28/2014,Fidalgo,2S 5-8,,,78,153,25.725066
2/28/2014,Fidalgo,2S 5-8,,,79,101,16.981906
2/28/2014,Fidalgo,2S 5-8,,,80,171,28.751545
2/28/2014,Fidalgo,2S 5-8,,,81,149,25.052515
2/28/2014,Fidalgo,2S 5-8,,,82,156,26.229479
2/28/2014,Fidalgo,2S 5-8,,,83,132,22.194175
2/28/2014,Fidalgo,2S 5-8,,,84,169,28.415269
2/28/2014,Fidalgo,2S 5-8,,,85,131,22.026037
2/28/2014,Fidalgo,2S 5-8,,,86,108,18.158870
2/28/2014,Fidalgo,2S 5-8,,,87,134,22.530450
2/28/2014,Fidalgo,2S 5-8,,,88,85,14.291703
2/28/2014,Fidalgo,2S 5-8,,,89,123,20.680936
2/28/2014,Fidalgo,2S 5-8,,,90,147,24.716240
2/28/2014,Fidalgo,2S 5-8,,,91,123,20.680936
2/28/2014,Fidalgo,2S 5-8,,,92,116,19.503972
2/28/2014,Fidalgo,2S 5-8,,,93,131,22.026037
2/28/2014,Fidalgo,2S 5-8,,,94,152,25.556929
2/28/2014,Fidalgo,2S 5-8,,,95,143,24.043689
2/28/2014,Fidalgo,2S 5-8,,,96,118,19.840247
2/28/2014,Fidalgo,2S 5-8,,,97,155,26.061342
2/28/2014,Fidalgo,2S 5-8,,,98,140,23.539276
2/28/2014,Fidalgo,2S 5-8,,,99,178,29.928508
2/28/2014,Fidalgo,2S 5-8,,,100,154,25.893204
2/28/2014,Fidalgo,2S 5-8,,,101,165,27.742718
2/28/2014,Fidalgo,2S 5-8,,,102,136,22.866726
2/28/2014,Fidalgo,2S 5-8,,,103,151,25.388791
2/28/2014,Fidalgo,2S 5-8,,,104,120,20.176523
2/28/2014,Fidalgo,2S 5-8,,,105,128,21.521624
2/28/2014,Fidalgo,2S 5-8,,,106,116,19.503972
2/28/2014,Fidalgo,2S 5-8,,,107,116,19.503972
2/28/2014,Fidalgo,2S 1-4,,,1,121,17.673376
2/28/2014,Fidalgo,2S 1-4,,,2,99,14.460035
2/28/2014,Fidalgo,2S 1-4,,,3,135,19.718229
2/28/2014,Fidalgo,2S 1-4,,,4,129,18.841863
2/28/2014,Fidalgo,2S 1-4,,,5,140,20.448534
2/28/2014,Fidalgo,2S 1-4,,,6,117,17.089132
2/28/2014,Fidalgo,2S 1-4,,,7,161,23.515814
2/28/2014,Fidalgo,2S 1-4,,,8,86,12.561242
2/28/2014,Fidalgo,2S 1-4,,,9,147,21.470960
2/28/2014,Fidalgo,2S 1-4,,,10,187,27.313399
2/28/2014,Fidalgo,2S 1-4,,,11,212,30.964922
2/28/2014,Fidalgo,2S 1-4,,,12,147,21.470960
2/28/2014,Fidalgo,2S 1-4,,,13,133,19.426107
2/28/2014,Fidalgo,2S 1-4,,,14,123,17.965497
2/28/2014,Fidalgo,2S 1-4,,,15,74,10.808511
