Site,Animal,Population,Death,Status
Dabob,1,N,4,1
Dabob,2,N,4,1
Dabob,3,N,4,1
Dabob,4,N,4,1
Dabob,5,N,4,1
Dabob,6,N,4,1
Dabob,7,N,4,1
Dabob,8,N,4,1
Dabob,9,N,4,1
Dabob,10,N,4,1
Dabob,11,N,4,1
Dabob,12,N,4,1
Dabob,13,N,4,1
Dabob,14,N,4,1
Dabob,15,N,4,1
Dabob,16,N,4,1
Dabob,17,N,4,1
Dabob,18,N,4,1
Dabob,19,N,4,1
Dabob,20,N,4,1
Dabob,21,N,4,1
Dabob,22,N,4,1
Dabob,23,N,4,1
Dabob,24,N,4,1
Dabob,25,N,4,1
Dabob,26,N,4,1
Dabob,27,N,4,1
Dabob,28,N,4,1
Dabob,29,N,4,1
Dabob,30,N,4,1
Dabob,31,N,4,1
Dabob,32,N,4,1
Dabob,33,N,4,1
Dabob,34,N,4,1
Dabob,35,N,4,1
Dabob,36,N,4,1
Dabob,37,N,4,1
Dabob,38,N,4,1
Dabob,39,N,4,1
Dabob,40,N,4,1
Dabob,41,N,4,1
Dabob,42,N,4,1
Dabob,43,N,4,1
Dabob,44,N,4,1
Dabob,45,N,4,1
Dabob,46,N,4,1
Dabob,47,N,4,1
Dabob,48,N,4,1
Dabob,49,N,4,1
Dabob,50,N,4,1
Dabob,51,N,4,1
Dabob,52,N,4,1
Dabob,53,N,4,1
Dabob,54,N,4,1
Dabob,55,N,4,1
Dabob,56,N,4,1
Dabob,57,N,4,1
Dabob,58,N,4,1
Dabob,59,N,4,1
Dabob,60,N,4,1
Dabob,61,N,4,1
Dabob,62,N,4,1
Dabob,63,N,4,1
Dabob,64,N,4,1
Dabob,65,N,4,1
Dabob,66,N,4,1
Dabob,67,N,4,1
Dabob,68,N,4,1
Dabob,69,N,4,1
Dabob,70,N,4,1
Dabob,71,N,4,1
Dabob,72,N,4,1
Dabob,73,N,4,1
Dabob,74,N,4,1
Dabob,75,N,4,1
Dabob,76,N,4,1
Dabob,77,N,4,1
Dabob,78,N,4,1
Dabob,79,N,4,1
Dabob,80,N,4,1
Dabob,81,N,4,1
Dabob,82,N,4,1
Dabob,83,N,4,1
Dabob,84,N,4,1
Dabob,85,N,4,1
Dabob,86,N,4,1
Dabob,87,N,4,1
Dabob,88,N,4,1
Dabob,89,N,4,1
Dabob,90,N,4,1
Dabob,91,N,4,1
Dabob,92,N,4,1
Dabob,93,N,4,1
Dabob,94,N,4,1
Dabob,95,N,4,1
Dabob,96,N,4,1
Dabob,97,N,4,1
Dabob,98,N,4,1
Dabob,99,N,4,1
Dabob,100,N,4,1
Dabob,101,N,4,1
Dabob,102,N,4,1
Dabob,103,N,4,1
Dabob,104,N,4,1
Dabob,105,N,4,1
Dabob,106,N,4,1
Dabob,107,N,4,1
Dabob,108,N,4,1
Dabob,109,N,4,1
Dabob,110,N,4,1
Dabob,111,N,4,1
Dabob,112,N,4,1
Dabob,113,N,4,1
Dabob,114,N,4,1
Dabob,115,N,4,1
Dabob,116,N,4,1
Dabob,117,N,4,1
Dabob,118,N,4,1
Dabob,119,N,4,1
Dabob,120,N,4,1
Dabob,121,N,4,1
Dabob,122,N,4,1
Dabob,123,N,4,1
Dabob,124,N,4,1
Dabob,125,N,4,1
Dabob,126,N,4,1
Dabob,127,N,4,1
Dabob,128,N,4,1
Dabob,129,N,4,1
Dabob,130,N,4,1
Dabob,131,N,4,1
Dabob,132,N,4,1
Dabob,133,N,4,1
Dabob,134,N,4,1
Dabob,135,N,4,1
Dabob,136,N,4,1
Dabob,137,N,4,1
Dabob,138,N,4,1
Dabob,139,N,4,1
Dabob,140,N,4,1
Dabob,141,N,4,1
Dabob,142,N,4,1
Dabob,143,N,4,1
Dabob,144,N,4,1
Dabob,145,N,4,1
Dabob,146,N,4,1
Dabob,147,N,4,1
Dabob,148,N,4,1
Dabob,149,N,4,1
Dabob,150,N,4,1
Dabob,151,N,4,1
Dabob,152,N,4,1
Dabob,153,N,4,1
Dabob,154,N,4,1
Dabob,155,N,4,1
Dabob,156,N,4,1
Dabob,157,N,4,1
Dabob,158,N,4,1
Dabob,159,N,4,1
Dabob,160,N,4,1
Dabob,161,N,4,1
Dabob,162,N,4,1
Dabob,163,N,4,1
Dabob,164,N,4,1
Dabob,165,N,4,1
Dabob,166,N,4,1
Dabob,167,N,4,1
Dabob,168,N,4,1
Dabob,169,N,4,1
Dabob,170,N,4,1
Dabob,171,N,4,1
Dabob,172,N,4,1
Dabob,173,N,4,1
Dabob,174,N,4,1
Dabob,175,N,4,1
Dabob,176,N,4,1
Dabob,177,N,4,1
Dabob,178,N,4,1
Dabob,179,N,4,1
Dabob,180,N,4,1
Dabob,181,N,4,1
Dabob,182,N,4,1
Dabob,183,N,4,1
Dabob,184,N,4,1
Dabob,185,N,4,1
Dabob,186,N,4,1
Dabob,187,N,4,1
Dabob,188,N,4,1
Dabob,189,N,4,1
Dabob,190,N,4,1
Dabob,191,N,4,1
Dabob,192,N,4,1
Dabob,193,N,4,1
Dabob,194,N,4,1
Dabob,195,N,4,1
Dabob,196,N,4,1
Dabob,197,N,4,1
Dabob,198,N,4,1
Dabob,199,N,4,1
Dabob,200,N,4,1
Dabob,201,N,4,1
