Animal,Population,Death,Status
1,N,4,1
2,N,4,1
3,N,4,1
4,N,4,1
5,N,4,1
6,N,4,1
7,N,4,1
8,N,4,1
9,N,4,1
10,N,4,1
11,N,4,1
12,N,4,1
13,N,4,1
14,N,4,1
15,N,4,1
16,N,4,1
17,N,4,1
18,N,4,1
19,N,4,1
20,N,4,1
21,N,4,1
22,N,4,1
23,N,4,1
24,N,4,1
25,N,4,1
26,N,4,1
27,N,4,1
28,N,4,1
29,N,4,1
30,N,4,1
31,N,4,1
32,N,4,1
33,N,4,1
34,N,4,1
35,N,4,1
36,N,4,1
37,N,4,1
38,N,4,1
39,N,4,1
40,N,4,1
41,N,4,1
42,N,4,1
43,N,4,1
44,N,4,1
45,N,4,1
46,N,4,1
47,N,4,1
48,N,4,1
49,N,4,1
50,N,4,1
51,N,4,1
52,N,4,1
53,N,4,1
54,N,4,1
55,N,4,1
56,N,4,1
57,N,4,1
58,N,4,1
59,N,4,1
60,N,4,1
61,N,4,1
62,N,4,1
63,N,4,1
64,N,4,1
65,N,4,1
66,N,4,1
67,N,4,1
68,N,4,1
69,N,4,1
70,N,4,1
71,N,4,1
72,N,4,1
73,N,4,1
74,N,4,1
75,N,4,1
76,N,4,1
77,N,4,1
78,N,4,1
79,N,4,1
80,N,4,1
81,N,4,1
82,N,4,1
83,N,4,1
84,N,4,1
85,N,4,1
86,N,4,1
87,N,4,1
88,N,4,1
89,N,4,1
90,N,4,1
91,N,4,1
92,N,4,1
93,N,4,1
94,N,4,1
95,N,4,1
96,N,4,1
97,N,4,1
98,N,4,1
99,N,4,1
100,N,4,1
101,N,4,1
102,N,4,1
103,N,4,1
104,N,4,1
105,N,4,1
106,N,4,1
107,N,4,1
108,N,4,1
109,N,4,1
110,N,4,1
111,N,4,1
112,N,4,1
113,N,4,1
114,N,4,1
115,N,4,1
116,N,4,1
117,N,4,1
118,N,4,1
119,N,4,1
120,N,4,1
121,N,4,1
122,N,4,1
123,N,4,1
124,N,4,1
125,N,4,1
126,N,4,1
127,N,4,1
128,N,4,1
129,N,4,1
130,N,4,1
131,N,4,1
132,N,4,1
133,N,4,1
134,N,4,1
135,N,4,1
136,N,4,1
137,N,4,1
138,N,4,1
139,N,4,1
140,N,4,1
141,N,4,1
142,N,4,1
143,N,4,1
144,N,4,1
145,N,4,1
146,N,4,1
147,N,4,1
148,N,4,1
149,N,4,1
150,N,4,1
151,N,4,1
152,N,4,1
153,N,4,1
154,N,4,1
155,N,4,1
156,N,4,1
157,N,4,1
158,N,4,1
159,N,4,1
160,N,4,1
161,N,4,1
162,N,4,1
163,N,4,1
164,N,4,1
165,N,4,1
166,N,4,1
167,N,4,1
168,N,4,1
169,N,4,1
170,N,4,1
171,N,4,1
172,N,4,1
173,N,4,1
174,N,4,1
175,N,4,1
176,N,4,1
177,N,4,1
178,N,4,1
179,N,4,1
180,N,4,1
181,N,4,1
182,N,4,1
183,N,4,1
184,N,4,1
185,N,4,1
186,N,4,1
187,N,4,1
188,N,4,1
189,N,4,1
190,N,4,1
191,N,4,1
192,N,4,1
193,N,4,1
194,N,4,1
195,N,4,1
196,N,4,1
197,N,4,1
198,N,4,1
199,N,4,1
200,N,4,1
201,N,4,1
202,N,4,1
203,N,4,1
204,N,4,1
205,N,4,1
206,N,4,1
207,N,4,1
208,N,4,1
209,N,4,1
210,N,4,1
211,N,4,1
212,N,4,1
213,N,4,1
214,N,4,1
215,N,4,1
216,N,4,1
217,N,4,1
218,N,4,1
219,N,4,1
220,N,4,1
221,N,4,1
222,N,4,1
223,N,4,1
224,N,4,1
225,N,4,1
226,N,4,1
227,N,4,1
228,N,4,1
229,N,4,1
230,N,4,0
231,N,4,0
232,N,4,0
233,N,4,0
234,N,4,0
235,N,4,0
236,N,4,0
237,N,4,0
238,N,4,0
239,N,4,0
240,N,4,0
241,N,4,0
242,N,4,0
243,N,4,0
244,N,4,0
245,N,4,0
246,N,4,0
247,N,4,0
248,N,4,0
249,N,4,0
250,N,4,0
251,N,4,0
252,N,4,0
253,N,4,0
254,N,4,0
255,N,4,0
256,N,4,0
257,N,4,0
258,N,4,0
259,N,4,0
260,N,4,0
261,N,4,0
262,N,4,0
263,N,4,0
264,N,4,0
265,N,4,0
266,N,4,0
267,N,4,0
268,N,4,0
269,N,4,0
270,N,4,0
271,N,4,0
272,N,4,0
273,N,5,1
274,N,5,1
275,N,5,1
276,N,5,1
277,N,5,1
278,N,5,1
279,N,5,1
280,N,5,1
281,N,5,1
282,N,5,1
283,N,5,1
284,N,5,1
285,N,5,1
286,N,5,1
287,N,5,1
288,N,5,1
289,N,5,1
290,N,5,1
291,N,5,1
292,N,5,1
293,N,5,1
294,N,5,1
295,N,5,1
296,N,5,1
297,N,5,1
298,N,5,1
299,N,5,1
300,N,5,1
301,N,5,1
302,N,5,1
303,N,5,1
304,N,5,1
305,N,5,1
306,N,5,1
307,N,5,1
308,N,5,1
309,N,5,1
310,N,5,1
311,N,5,1
312,N,5,1
313,N,5,1
314,N,5,1
315,N,5,1
316,N,5,1
317,N,5,1
318,N,5,1
319,N,5,1
320,N,5,1
321,N,5,1
322,N,5,1
323,N,5,1
324,N,5,1
325,N,5,1
326,N,5,1
327,N,5,1
328,N,5,1
329,N,5,1
330,N,5,1
331,N,5,1
332,N,5,1
