Animal,Population,Death,Status
1,N,4,1
2,N,4,1
3,N,4,1
4,N,4,1
5,N,4,1
6,N,4,1
7,N,4,1
8,N,4,1
9,N,4,1
10,N,4,1
11,N,4,1
12,N,4,1
13,N,4,1
14,N,4,0
15,N,4,0
16,N,4,0
17,N,4,0
18,N,4,0
19,N,4,0
20,N,4,0
21,N,4,0
22,N,4,0
23,N,4,0
24,N,4,0
25,N,4,0
26,N,4,0
27,N,4,0
28,N,4,0
29,N,4,0
30,N,4,0
31,N,4,0
32,N,4,0
33,N,4,0
34,N,4,0
35,N,4,0
36,N,4,0
37,N,4,0
38,N,4,0
39,N,4,0
40,N,4,0
41,N,4,0
42,N,4,0
43,N,4,0
44,N,4,0
45,N,4,0
46,N,6,1
47,N,6,1
48,N,6,1
49,N,6,1
50,N,6,1
51,N,10,1
52,N,10,1
53,N,10,1
54,N,10,1
55,N,10,1
56,N,10,1
57,N,10,1
58,N,10,1
59,N,10,1
60,N,10,1
61,N,10,1
62,N,10,1
63,N,10,1
64,N,10,1
65,N,10,1
66,N,10,1
67,N,10,1
68,N,10,1
69,N,10,1
70,N,10,1
71,N,10,1
72,N,10,1
73,N,10,1
74,N,10,1
75,N,10,1
76,N,10,1
77,N,11,1
78,N,11,1
79,N,11,1
80,N,11,1
81,N,11,1
82,N,11,1
83,N,11,1
84,N,11,1
85,N,11,1
86,N,11,1
87,N,11,1
88,N,11,1
89,N,11,1
90,N,11,1
91,N,11,1
92,N,11,1
93,N,11,1
94,N,11,1
95,N,11,1
96,N,11,1
97,N,11,1
98,N,11,1
99,N,11,1
100,N,11,1
101,N,11,1
102,N,11,1
103,N,11,1
104,N,11,1
105,N,11,1
106,N,11,1
107,N,11,1
108,N,11,1
109,N,11,1
110,N,11,1
111,N,11,1
112,N,11,1
113,N,11,1
114,N,11,1
115,N,11,1
116,N,11,1
117,N,11,1
118,N,11,1
119,N,11,1
120,N,11,0
121,N,11,0
122,N,11,0
123,N,11,0
124,N,11,0
125,N,11,0
126,N,11,0
127,N,11,0
128,N,11,0
129,N,11,0
130,N,11,0
131,N,11,0
132,N,11,0
133,N,11,0
134,N,11,0
135,N,11,0
136,N,11,0
137,N,11,0
138,N,11,0
139,N,11,0
140,N,11,0
141,N,11,0
142,N,11,0
143,N,11,0
144,N,11,0
145,N,11,0
146,N,11,0
147,N,11,0
148,N,11,0
149,N,11,0
150,N,11,0
151,N,11,0
152,N,11,0
153,N,11,0
154,N,11,0
155,N,11,0
156,N,11,0
157,N,11,0
158,N,11,0
159,N,11,0
160,N,11,0
161,N,11,0
162,N,11,0
163,N,11,0
164,N,11,0
165,N,11,0
166,N,11,0
167,N,11,0
168,N,11,0
169,N,11,0
170,N,11,0
171,N,11,0
172,N,11,0
173,N,11,0
174,N,11,0
175,N,11,0
176,N,11,0
177,N,11,0
178,N,11,0
179,N,11,0
180,N,11,0
181,N,11,0
182,N,11,0
183,N,11,0
184,N,11,0
185,N,11,0
186,N,11,0
187,N,11,0
188,N,11,0
189,N,11,0
190,N,11,0
191,N,11,0
192,N,11,0
193,N,11,0
194,N,11,0
195,N,11,0
196,N,11,0
197,N,11,0
198,N,11,0
199,N,11,0
200,N,11,0
201,N,11,0
202,N,11,0
203,N,11,0
204,N,11,0
205,N,11,0
206,N,11,0
207,N,11,0
208,N,11,0
209,N,11,0
210,N,11,0
211,N,11,0
212,N,11,0
213,N,11,0
214,N,11,0
215,N,11,0
216,N,11,0
217,N,11,0
218,N,11,0
219,N,11,0
220,N,11,0
221,N,11,0
222,N,11,0
223,N,11,0
224,N,11,0
225,N,11,0
226,N,11,0
227,N,11,0
228,N,11,0
229,N,11,0
230,N,11,0
231,N,11,0
232,N,11,0
233,N,11,0
234,N,11,0
235,N,11,0
236,N,11,0
237,N,11,0
238,N,11,0
239,N,11,0
240,N,11,0
241,N,11,0
242,N,11,0
243,N,11,0
244,N,11,0
245,N,11,0
246,N,11,0
247,N,11,0
248,N,11,0
249,N,11,0
250,N,11,0
251,N,11,0
252,N,11,0
253,N,11,0
254,N,11,0
255,N,11,0
256,N,11,0
257,N,11,0
258,N,11,0
259,N,11,0
260,N,11,0
261,N,11,0
262,N,11,0
263,N,11,0
264,N,11,0
265,N,11,0
266,N,11,0
267,N,11,0
268,N,11,0
269,N,11,0
270,N,11,0
271,N,11,0
272,N,11,0
273,N,11,0
274,N,11,0
275,N,11,0
276,N,11,0
277,N,11,0
278,N,11,0
279,N,11,0
280,N,11,0
281,N,11,0
282,N,11,0
283,N,11,0
284,N,11,0
285,N,11,0
286,N,11,0
287,N,11,0
288,N,11,0
289,N,11,0
290,N,11,0
291,N,11,0
292,N,11,0
293,N,11,0
294,N,11,0
295,N,11,0
296,N,11,0
297,N,11,0
298,N,11,0
299,N,11,0
300,N,11,0
301,N,11,0
302,N,11,0
303,N,11,0
304,N,11,0
305,N,11,0
306,N,11,0
307,N,11,0
308,N,11,0
309,N,11,0
310,N,11,0
311,N,11,0
312,N,11,0
313,N,11,0
314,N,11,0
315,N,11,0
316,N,11,0
317,N,11,0
318,N,11,0
319,N,11,0
320,N,11,0
321,N,11,0
322,N,11,0
323,N,11,0
324,N,11,0
325,N,11,0
326,N,11,0
327,N,11,0
328,N,11,0
329,N,11,0
330,N,11,0
331,N,11,0
332,N,11,0
