Animal,Population,Death,Status
1,N,4,1
2,N,4,1
3,N,4,1
4,N,4,1
5,N,4,1
6,N,4,1
7,N,4,1
8,N,4,1
9,N,4,1
10,N,4,1
11,N,4,1
12,N,4,1
13,N,4,1
14,N,4,1
15,N,4,1
16,N,4,1
17,N,4,1
18,N,4,1
19,N,4,1
20,N,4,1
21,N,4,1
22,N,4,1
23,N,4,1
24,N,4,1
25,N,4,1
26,N,4,1
27,N,4,1
28,N,4,1
29,N,4,1
30,N,4,1
31,N,4,1
32,N,4,1
33,N,4,1
34,N,4,1
35,N,4,1
36,N,4,1
37,N,4,1
38,N,4,1
39,N,4,1
40,N,4,1
41,N,4,1
42,N,4,1
43,N,4,1
44,N,4,1
45,N,4,1
46,N,4,1
47,N,4,1
48,N,4,0
49,N,4,0
50,N,4,0
51,N,4,0
52,N,4,0
53,N,4,0
54,N,4,0
55,N,4,0
56,N,4,0
57,N,4,0
58,N,4,0
59,N,4,0
60,N,4,0
61,N,4,0
62,N,4,0
63,N,4,0
64,N,4,0
65,N,4,0
66,N,4,0
67,N,4,0
68,N,4,0
69,N,4,0
70,N,4,0
71,N,4,0
72,N,4,0
73,N,4,0
74,N,4,0
75,N,4,0
76,N,4,0
77,N,4,0
78,N,6,1
79,N,6,1
80,N,6,1
81,N,6,1
82,N,6,1
83,N,6,1
84,N,6,1
85,N,6,1
86,N,6,1
87,N,6,1
88,N,6,1
89,N,6,1
90,N,6,1
91,N,6,1
92,N,6,1
93,N,6,1
94,N,9,1
95,N,9,1
96,N,9,1
97,N,9,1
98,N,9,1
99,N,9,1
100,N,9,1
101,N,9,1
102,N,9,1
103,N,9,1
104,N,9,1
105,N,9,1
106,N,9,1
107,N,9,1
108,N,9,1
109,N,9,1
110,N,9,1
111,N,9,1
112,N,9,1
113,N,9,1
114,N,9,1
115,N,9,1
116,N,9,1
117,N,9,1
118,N,9,1
119,N,9,1
120,N,9,1
121,N,9,1
122,N,9,1
123,N,9,1
124,N,9,1
125,N,9,1
126,N,9,1
127,N,9,1
128,N,9,1
129,N,9,1
130,N,9,1
131,N,9,1
132,N,9,1
133,N,9,1
134,N,9,1
135,N,9,1
136,N,9,1
137,N,9,1
138,N,9,1
139,N,9,1
140,N,9,1
141,N,9,1
142,N,9,1
143,N,9,1
144,N,9,1
145,N,9,1
146,N,9,1
147,N,9,1
148,N,9,1
149,N,9,1
150,N,9,1
151,N,9,1
152,N,9,1
153,N,9,1
154,N,9,1
155,N,9,1
156,N,9,1
157,N,9,1
158,N,9,1
159,N,9,1
160,N,9,1
161,N,9,1
162,N,9,1
163,N,9,1
164,N,9,1
165,N,9,1
166,N,9,1
167,N,9,1
168,N,9,1
169,N,9,1
170,N,9,1
171,N,9,1
172,N,9,1
173,N,9,1
174,N,9,1
175,N,9,1
176,N,9,1
177,N,9,1
178,N,9,1
179,N,9,1
180,N,9,1
181,N,9,1
182,N,9,1
183,N,9,1
184,N,9,1
185,N,9,1
186,N,9,1
187,N,9,1
188,N,10,1
189,N,10,1
190,N,10,1
191,N,10,1
192,N,10,1
193,N,10,1
194,N,10,1
195,N,10,1
196,N,10,1
197,N,10,1
198,N,10,1
199,N,10,1
200,N,10,1
201,N,10,1
202,N,10,1
203,N,10,1
204,N,10,1
205,N,10,1
206,N,10,1
207,N,10,1
208,N,10,1
209,N,10,1
210,N,10,1
211,N,10,1
212,N,10,1
213,N,10,1
214,N,10,1
215,N,10,1
216,N,10,1
217,N,10,1
218,N,10,1
219,N,10,1
220,N,10,1
221,N,10,1
222,N,10,1
223,N,10,1
224,N,10,1
225,N,10,1
226,N,10,1
227,N,11,1
228,N,11,1
229,N,11,1
230,N,11,1
231,N,11,1
232,N,11,1
233,N,11,1
234,N,11,1
235,N,11,1
236,N,11,1
237,N,11,1
238,N,11,1
239,N,11,1
240,N,11,1
241,N,11,1
242,N,11,1
243,N,11,1
244,N,11,1
245,N,11,1
246,N,11,1
247,N,11,1
248,N,11,0
249,N,11,0
250,N,11,0
251,N,11,0
252,N,11,0
253,N,11,0
254,N,11,0
255,N,11,0
256,N,11,0
257,N,11,0
258,N,11,0
259,N,11,0
260,N,11,0
261,N,11,0
262,N,11,0
263,N,11,0
264,N,11,0
265,N,11,0
266,N,11,0
267,N,11,0
268,N,11,0
269,N,11,0
270,N,11,0
271,N,11,0
272,N,11,0
273,N,11,0
274,N,11,0
275,N,11,0
276,N,11,0
277,N,11,0
278,N,11,0
279,N,11,0
280,N,11,0
281,N,11,0
282,N,11,0
283,N,11,0
284,N,11,0
285,N,11,0
286,N,11,0
287,N,11,0
288,N,11,0
289,N,11,0
290,N,11,0
291,N,11,0
292,N,11,0
293,N,11,0
294,N,11,0
295,N,11,0
296,N,11,0
297,N,11,0
298,N,11,0
299,N,11,0
300,N,11,0
301,N,11,0
302,N,11,0
303,N,11,0
304,N,11,0
305,N,11,0
306,N,11,0
307,N,11,0
308,N,11,0
309,N,11,0
310,N,11,0
311,N,11,0
312,N,11,0
313,N,11,0
314,N,11,0
315,N,11,0
316,N,11,0
317,N,11,0
318,N,11,0
319,N,11,0
320,N,11,0
321,N,11,0
322,N,11,0
323,N,11,0
324,N,11,0
325,N,11,0
326,N,11,0
327,N,11,0
328,N,11,0
329,N,11,0
330,N,11,0
331,N,11,0
332,N,11,0
