Date,Site,Pop,Tray,Sample,Area,Length.mm
10/17/2014,Fidalgo,2N,1-4,1,232,35.10405083
10/17/2014,Fidalgo,2N,1-4,2,271,41.00516282
10/17/2014,Fidalgo,2N,1-4,3,208,31.4725973
10/17/2014,Fidalgo,2N,1-4,4,166,25.11755361
10/17/2014,Fidalgo,2N,1-4,5,209,31.62390786
10/17/2014,Fidalgo,2N,1-4,6,256,38.73550437
10/17/2014,Fidalgo,2N,1-4,7,193,29.20293884
10/17/2014,Fidalgo,2N,1-4,8,256,38.73550437
10/17/2014,Fidalgo,2N,1-4,9,203,30.71604448
10/17/2014,Fidalgo,2N,1-4,10,179,27.08459094
10/17/2014,Fidalgo,2N,1-4,11,167,25.26886418
10/17/2014,Fidalgo,2N,1-4,12,212,32.07783955
10/17/2014,Fidalgo,2N,1-4,13,275,41.61040508
10/17/2014,Fidalgo,2N,1-4,14,206,31.16997617
10/17/2014,Fidalgo,2N,1-4,15,221,33.43963463
10/17/2014,Fidalgo,2N,1-4,16,194,29.3542494
10/17/2014,Fidalgo,2N,1-4,17,198,29.95949166
10/17/2014,Fidalgo,2N,1-4,18,215,32.53177124
10/17/2014,Fidalgo,2N,1-4,19,171,25.87410643
10/17/2014,Fidalgo,2N,1-4,20,176,26.63065925
10/17/2014,Fidalgo,2N,1-4,21,143,21.63741064
10/17/2014,Fidalgo,2N,1-4,22,215,32.53177124
10/17/2014,Fidalgo,2N,1-4,23,188,28.44638602
10/17/2014,Fidalgo,2N,1-4,24,213,32.22915012
10/17/2014,Fidalgo,2N,1-4,25,141,21.33478951
10/17/2014,Fidalgo,2N,1-4,26,174,26.32803812
10/17/2014,Fidalgo,2N,1-4,27,130,19.67037331
10/17/2014,Fidalgo,2N,1-4,28,160,24.20969023
10/17/2014,Fidalgo,2N,1-4,29,226,34.19618745
10/17/2014,Fidalgo,2N,1-4,30,134,20.27561557
10/17/2014,Fidalgo,2N,1-4,31,79,11.95353455
10/17/2014,Fidalgo,2N,1-4,32,198,29.95949166
10/17/2014,Fidalgo,2N,1-4,33,220,33.28832406
10/17/2014,Fidalgo,2N,1-4,34,210,31.77521842
10/17/2014,Fidalgo,2N,1-4,35,182,27.53852263
10/17/2014,Fidalgo,2N,1-4,36,230,34.8014297
10/17/2014,Fidalgo,2N,1-4,37,212,32.07783955
10/17/2014,Fidalgo,2N,1-4,38,109,16.49285147
10/17/2014,Fidalgo,2N,1-4,39,198,29.95949166
10/17/2014,Fidalgo,2N,1-4,40,192,29.05162827
10/17/2014,Fidalgo,2N,1-4,41,227,34.34749801
10/17/2014,Fidalgo,2N,1-4,42,252,38.13026211
10/17/2014,Fidalgo,2N,1-4,43,203,30.71604448
10/17/2014,Fidalgo,2N,1-4,44,221,33.43963463
10/17/2014,Fidalgo,2N,1-4,45,188,28.44638602
10/17/2014,Fidalgo,2N,1-4,46,174,26.32803812
10/17/2014,Fidalgo,2N,1-4,47,145,21.94003177
10/17/2014,Fidalgo,2N,1-4,48,197,29.80818109
10/17/2014,Fidalgo,2N,1-4,49,224,33.89356632
10/17/2014,Fidalgo,2N,1-4,50,171,25.87410643
10/17/2014,Fidalgo,2N,1-4,51,218,32.98570294
10/17/2014,Fidalgo,2N,1-4,52,152,22.99920572
10/17/2014,Fidalgo,2N,1-4,53,194,29.3542494
10/17/2014,Fidalgo,2N,1-4,54,196,29.65687053
10/17/2014,Fidalgo,2N,1-4,55,208,31.4725973
10/17/2014,Fidalgo,2N,1-4,56,220,33.28832406
10/17/2014,Fidalgo,2N,1-4,57,227,34.34749801
10/17/2014,Fidalgo,2N,1-4,58,201,30.41342335
10/17/2014,Fidalgo,2N,1-4,59,179,27.08459094
10/17/2014,Fidalgo,2N,1-4,60,146,22.09134233
10/17/2014,Fidalgo,2N,1-4,61,161,24.36100079
10/17/2014,Fidalgo,2N,1-4,62,172,26.025417
10/17/2014,Fidalgo,2N,1-4,63,200,30.26211279
10/17/2014,Fidalgo,2N,1-4,64,182,27.53852263
10/17/2014,Fidalgo,2N,1-4,65,143,21.63741064
10/17/2014,Fidalgo,2N,1-4,66,231,34.95274027
10/17/2014,Fidalgo,2N,1-4,67,203,30.71604448
10/17/2014,Fidalgo,2N,1-4,68,230,34.8014297
10/17/2014,Fidalgo,2N,1-4,69,213,32.22915012
10/17/2014,Fidalgo,2N,1-4,70,168,25.42017474
10/17/2014,Fidalgo,2N,1-4,71,233,35.2553614
10/17/2014,Fidalgo,2N,1-4,72,243,36.76846703
10/17/2014,Fidalgo,2N,1-4,73,205,31.01866561
10/17/2014,Fidalgo,2N,1-4,74,204,30.86735504
10/17/2014,Fidalgo,2N,1-4,75,137,20.72954726
10/17/2014,Fidalgo,2N,1-4,76,205,31.01866561
10/17/2014,Fidalgo,2N,1-4,77,217,32.83439237
10/17/2014,Fidalgo,2N,1-4,78,217,32.83439237
10/17/2014,Fidalgo,2N,1-4,79,217,32.83439237
10/17/2014,Fidalgo,2N,1-4,80,211,31.92652899
10/17/2014,Fidalgo,2N,1-4,81,160,24.20969023
10/17/2014,Fidalgo,2N,1-4,82,160,24.20969023
10/17/2014,Fidalgo,2N,1-4,83,215,32.53177124
10/17/2014,Fidalgo,2N,1-4,84,192,29.05162827
10/17/2014,Fidalgo,2N,1-4,85,243,36.76846703
10/17/2014,Fidalgo,2N,1-4,86,227,34.34749801
10/17/2014,Fidalgo,2N,1-4,87,193,29.20293884
10/17/2014,Fidalgo,2N,1-4,88,188,28.44638602
10/17/2014,Fidalgo,2N,1-4,89,192,29.05162827
10/17/2014,Fidalgo,2N,1-4,90,226,34.19618745
10/17/2014,Fidalgo,2N,1-4,91,226,34.19618745
10/17/2014,Fidalgo,2N,1-4,92,173,26.17672756
10/17/2014,Fidalgo,2N,1-4,93,133,20.124305
10/17/2014,Fidalgo,2N,1-4,94,222,33.59094519
10/17/2014,Fidalgo,2N,1-4,95,193,29.20293884
10/17/2014,Fidalgo,2N,1-4,96,184,27.84114376
10/17/2014,Fidalgo,2N,1-4,97,204,30.86735504
10/17/2014,Fidalgo,2N,1-4,98,177,26.78196982
10/17/2014,Fidalgo,2N,1-4,99,240,36.31453534
10/17/2014,Fidalgo,2N,5-8,1,128,17.9030837
10/17/2014,Fidalgo,2N,5-8,2,145,20.28083701
10/17/2014,Fidalgo,2N,5-8,3,224,31.33039648
10/17/2014,Fidalgo,2N,5-8,4,215,30.0715859
10/17/2014,Fidalgo,2N,5-8,5,249,34.82709251
10/17/2014,Fidalgo,2N,5-8,6,197,27.55396476
10/17/2014,Fidalgo,2N,5-8,7,201,28.11343612
10/17/2014,Fidalgo,2N,5-8,8,221,30.91079295
10/17/2014,Fidalgo,2N,5-8,9,185,25.87555066
10/17/2014,Fidalgo,2N,5-8,10,204,28.53303965
10/17/2014,Fidalgo,2N,5-8,11,197,27.55396476
10/17/2014,Fidalgo,2N,5-8,12,197,27.55396476
10/17/2014,Fidalgo,2N,5-8,13,183,25.59581498
10/17/2014,Fidalgo,2N,5-8,14,196,27.41409692
10/17/2014,Fidalgo,2N,5-8,15,244,34.1277533
10/17/2014,Fidalgo,2N,5-8,16,208,29.09251101
10/17/2014,Fidalgo,2N,5-8,17,258,36.08590308
10/17/2014,Fidalgo,2N,5-8,18,203,28.39317181
10/17/2014,Fidalgo,2N,5-8,19,208,29.09251101
10/17/2014,Fidalgo,2N,5-8,20,165,23.07819383
10/17/2014,Fidalgo,2N,5-8,21,190,26.57488987
10/17/2014,Fidalgo,2N,5-8,22,197,27.55396476
10/17/2014,Fidalgo,2N,5-8,23,187,26.15528634
10/17/2014,Fidalgo,2N,5-8,24,196,27.41409692
10/17/2014,Fidalgo,2N,5-8,25,191,26.71475771
10/17/2014,Fidalgo,2N,5-8,26,211,29.51211454
10/17/2014,Fidalgo,2N,5-8,27,238,33.28854626
10/17/2014,Fidalgo,2N,5-8,28,250,34.96696035
10/17/2014,Fidalgo,2N,5-8,29,225,31.47026432
10/17/2014,Fidalgo,2N,5-8,30,194,27.13436123
10/17/2014,Fidalgo,2N,5-8,31,203,28.39317181
10/17/2014,Fidalgo,2N,5-8,32,220,30.77092511
10/17/2014,Fidalgo,2N,5-8,33,226,31.61013216
10/17/2014,Fidalgo,2N,5-8,34,193,26.99449339
10/17/2014,Fidalgo,2N,5-8,35,219,30.63105727
10/17/2014,Fidalgo,2N,5-8,36,192,26.85462555
10/17/2014,Fidalgo,2N,5-8,37,208,29.09251101
10/17/2014,Fidalgo,2N,5-8,38,199,27.83370044
10/17/2014,Fidalgo,2N,5-8,39,124,17.34361234
10/17/2014,Fidalgo,2N,5-8,40,181,25.3160793
10/17/2014,Fidalgo,2N,5-8,41,207,28.95264317
10/17/2014,Fidalgo,2N,5-8,42,202,28.25330397
10/17/2014,Fidalgo,2N,5-8,43,171,23.91740088
10/17/2014,Fidalgo,2N,5-8,44,193,26.99449339
10/17/2014,Fidalgo,2N,5-8,45,248,34.68722467
10/17/2014,Fidalgo,2N,5-8,46,165,23.07819383
10/17/2014,Fidalgo,2N,5-8,47,178,24.89647577
10/17/2014,Fidalgo,2N,5-8,48,206,28.81277533
10/17/2014,Fidalgo,2N,5-8,49,256,35.8061674
10/17/2014,Fidalgo,2N,5-8,50,217,30.35132159
10/17/2014,Fidalgo,2N,5-8,51,226,31.61013216
10/17/2014,Fidalgo,2N,5-8,52,175,24.47687225
10/17/2014,Fidalgo,2N,5-8,53,181,25.3160793
10/17/2014,Fidalgo,2N,5-8,54,225,31.47026432
10/17/2014,Fidalgo,2N,5-8,55,236,33.00881057
10/17/2014,Fidalgo,2N,5-8,56,217,30.35132159
10/17/2014,Fidalgo,2N,5-8,57,192,26.85462555
10/17/2014,Fidalgo,2N,5-8,58,236,33.00881057
10/17/2014,Fidalgo,2N,5-8,59,153,21.39977974
10/17/2014,Fidalgo,2N,5-8,60,236,33.00881057
10/17/2014,Fidalgo,2N,5-8,61,252,35.24669604
10/17/2014,Fidalgo,2N,5-8,62,151,21.12004405
10/17/2014,Fidalgo,2N,5-8,63,235,32.86894273
10/17/2014,Fidalgo,2N,5-8,64,285,39.8623348
10/17/2014,Fidalgo,2N,5-8,65,185,25.87555066
10/17/2014,Fidalgo,2N,5-8,66,214,29.93171806
10/17/2014,Fidalgo,2N,5-8,67,213,29.79185022
10/17/2014,Fidalgo,2N,5-8,68,157,21.9592511
10/17/2014,Fidalgo,2N,5-8,69,203,28.39317181
10/17/2014,Fidalgo,2N,5-8,70,249,34.82709251
10/17/2014,Fidalgo,2N,5-8,71,155,21.67951542
10/17/2014,Fidalgo,2N,5-8,72,182,25.45594714
10/17/2014,Fidalgo,2N,5-8,73,162,22.65859031
10/17/2014,Fidalgo,2N,5-8,74,167,23.35792952
10/17/2014,Fidalgo,2N,5-8,75,216,30.21145375
10/17/2014,Fidalgo,2N,5-8,76,222,31.05066079
10/17/2014,Fidalgo,2N,5-8,77,145,20.28083701
10/17/2014,Fidalgo,2N,5-8,78,281,39.30286344
10/17/2014,Fidalgo,2N,5-8,79,217,30.35132159
10/17/2014,Fidalgo,2N,5-8,80,190,26.57488987
10/17/2014,Fidalgo,2N,5-8,81,260,36.36563877
10/17/2014,Fidalgo,2N,5-8,82,185,25.87555066
10/17/2014,Fidalgo,2N,5-8,83,174,24.33700441
10/17/2014,Fidalgo,2N,5-8,84,231,32.30947137
10/17/2014,Fidalgo,2N,5-8,85,219,30.63105727
10/17/2014,Fidalgo,2N,5-8,86,256,35.8061674
10/17/2014,Fidalgo,2N,5-8,87,159,22.23898678
10/17/2014,Fidalgo,2N,5-8,88,163,22.79845815
10/17/2014,Fidalgo,2N,5-8,89,206,28.81277533
10/17/2014,Fidalgo,2N,5-8,90,245,34.26762115
10/17/2014,Fidalgo,2N,5-8,91,229,32.02973568
10/17/2014,Fidalgo,2N,5-8,92,257,35.94603524
10/17/2014,Fidalgo,2N,5-8,93,231,32.30947137
10/17/2014,Fidalgo,2N,5-8,94,162,22.65859031
10/17/2014,Fidalgo,2N,5-8,95,245,34.26762115
10/17/2014,Fidalgo,2N,5-8,96,215,30.0715859
10/17/2014,Fidalgo,2N,5-8,97,252,35.24669604
10/17/2014,Fidalgo,2N,9-12,1,230,32.14600147
10/17/2014,Fidalgo,2N,9-12,2,175,24.45891416
10/17/2014,Fidalgo,2N,9-12,3,241,33.68341893
10/17/2014,Fidalgo,2N,9-12,4,187,26.13609685
10/17/2014,Fidalgo,2N,9-12,5,175,24.45891416
10/17/2014,Fidalgo,2N,9-12,6,261,36.4787234
10/17/2014,Fidalgo,2N,9-12,7,263,36.75825385
10/17/2014,Fidalgo,2N,9-12,8,217,30.32905356
10/17/2014,Fidalgo,2N,9-12,9,195,27.25421864
10/17/2014,Fidalgo,2N,9-12,10,166,23.20102715
10/17/2014,Fidalgo,2N,9-12,11,192,26.83492296
10/17/2014,Fidalgo,2N,9-12,12,237,33.12435803
10/17/2014,Fidalgo,2N,9-12,13,207,28.93140132
10/17/2014,Fidalgo,2N,9-12,14,237,33.12435803
10/17/2014,Fidalgo,2N,9-12,15,226,31.58694057
10/17/2014,Fidalgo,2N,9-12,16,188,26.27586207
10/17/2014,Fidalgo,2N,9-12,17,217,30.32905356
10/17/2014,Fidalgo,2N,9-12,18,237,33.12435803
10/17/2014,Fidalgo,2N,9-12,19,196,27.39398386
10/17/2014,Fidalgo,2N,9-12,20,140,19.56713133
10/17/2014,Fidalgo,2N,9-12,21,280,39.13426266
10/17/2014,Fidalgo,2N,9-12,22,208,29.07116654
10/17/2014,Fidalgo,2N,9-12,23,145,20.26595745
10/17/2014,Fidalgo,2N,9-12,24,202,28.2325752
10/17/2014,Fidalgo,2N,9-12,25,154,21.52384446
10/17/2014,Fidalgo,2N,9-12,26,203,28.37234043
10/17/2014,Fidalgo,2N,9-12,27,163,22.78173147
10/17/2014,Fidalgo,2N,9-12,28,207,28.93140132
10/17/2014,Fidalgo,2N,9-12,29,266,37.17754952
10/17/2014,Fidalgo,2N,9-12,30,198,27.67351431
10/17/2014,Fidalgo,2N,9-12,31,197,27.53374908
10/17/2014,Fidalgo,2N,9-12,32,142,19.84666178
10/17/2014,Fidalgo,2N,9-12,33,214,29.90975789
10/17/2014,Fidalgo,2N,9-12,34,200,27.95304475
10/17/2014,Fidalgo,2N,9-12,35,191,26.69515774
10/17/2014,Fidalgo,2N,9-12,36,197,27.53374908
10/17/2014,Fidalgo,2N,9-12,37,203,28.37234043
10/17/2014,Fidalgo,2N,9-12,38,178,24.87820983
10/17/2014,Fidalgo,2N,9-12,39,186,25.99633162
10/17/2014,Fidalgo,2N,9-12,40,272,38.01614087
10/17/2014,Fidalgo,2N,9-12,41,222,31.02787968
10/17/2014,Fidalgo,2N,9-12,42,169,23.62032282
10/17/2014,Fidalgo,2N,9-12,43,254,35.50036684
10/17/2014,Fidalgo,2N,9-12,44,208,29.07116654
10/17/2014,Fidalgo,2N,9-12,45,196,27.39398386
10/17/2014,Fidalgo,2N,9-12,46,175,24.45891416
10/17/2014,Fidalgo,2N,9-12,47,252,35.22083639
10/17/2014,Fidalgo,2N,9-12,48,166,23.20102715
10/17/2014,Fidalgo,2N,9-12,49,149,20.82501834
10/17/2014,Fidalgo,2N,9-12,50,217,30.32905356
10/17/2014,Fidalgo,2N,9-12,51,179,25.01797506
10/17/2014,Fidalgo,2N,9-12,52,246,34.38224505
10/17/2014,Fidalgo,2N,9-12,53,168,23.48055759
10/17/2014,Fidalgo,2N,9-12,54,212,29.63022744
10/17/2014,Fidalgo,2N,9-12,55,140,19.56713133
10/17/2014,Fidalgo,2N,9-12,56,238,33.26412326
10/17/2014,Fidalgo,2N,9-12,57,265,37.0377843
10/17/2014,Fidalgo,2N,9-12,58,160,22.3624358
10/17/2014,Fidalgo,2N,9-12,59,244,34.1027146
10/17/2014,Fidalgo,2N,9-12,60,271,37.87637564
10/17/2014,Fidalgo,2N,9-12,61,188,26.27586207
10/17/2014,Fidalgo,2N,9-12,62,211,29.49046222
10/17/2014,Fidalgo,2N,9-12,63,221,30.88811445
10/17/2014,Fidalgo,2N,9-12,64,206,28.7916361
10/17/2014,Fidalgo,2N,9-12,65,204,28.51210565
