Date,Time,Temp
8/20/2013,0:06,16.713
8/20/2013,0:21,16.713
8/20/2013,0:36,16.427
8/20/2013,0:51,16.141
8/20/2013,1:06,16.237
8/20/2013,1:21,17.094
8/20/2013,1:36,16.903
8/20/2013,1:51,16.523
8/20/2013,2:06,16.427
8/20/2013,2:21,14.996
8/20/2013,2:36,14.613
8/20/2013,2:51,14.517
8/20/2013,3:06,14.709
8/20/2013,3:21,14.517
8/20/2013,3:36,14.517
8/20/2013,3:51,14.613
8/20/2013,4:06,14.613
8/20/2013,4:21,14.613
8/20/2013,4:36,14.996
8/20/2013,4:51,15.664
8/20/2013,5:06,16.046
8/20/2013,5:21,16.332
8/20/2013,5:36,16.618
8/20/2013,5:51,16.808
8/20/2013,6:06,16.999
8/20/2013,6:21,17.094
8/20/2013,6:36,17.094
8/20/2013,6:51,16.999
8/20/2013,7:06,16.903
8/20/2013,7:21,17.094
8/20/2013,7:36,17.094
8/20/2013,7:51,17.094
8/20/2013,8:06,17.094
8/20/2013,8:21,17.094
8/20/2013,8:36,17.284
8/20/2013,8:51,17.379
8/20/2013,9:06,17.57
8/20/2013,9:21,17.855
8/20/2013,9:36,17.379
8/20/2013,9:51,19.948
8/20/2013,10:06,18.331
8/20/2013,10:21,19.662
8/20/2013,10:36,20.234
8/20/2013,10:51,20.996
8/20/2013,11:06,22.238
8/20/2013,11:21,22.621
8/20/2013,11:36,22.333
8/20/2013,11:51,22.046
8/20/2013,12:06,21.855
8/20/2013,12:21,22.333
8/20/2013,12:36,24.062
8/20/2013,12:51,18.806
8/20/2013,13:06,17.95
8/20/2013,13:21,17.189
8/20/2013,13:36,16.808
8/20/2013,13:51,18.045
8/20/2013,14:06,17.094
8/20/2013,14:21,17.379
8/20/2013,14:36,17.57
8/20/2013,14:51,17.189
8/20/2013,15:06,16.999
8/20/2013,15:21,16.999
8/20/2013,15:36,17.094
8/20/2013,15:51,17.094
8/20/2013,16:06,16.999
8/20/2013,16:21,16.999
8/20/2013,16:36,16.618
8/20/2013,16:51,16.332
8/20/2013,17:06,16.332
8/20/2013,17:21,16.332
8/20/2013,17:36,15.951
8/20/2013,17:51,15.473
8/20/2013,18:06,15.473
8/20/2013,18:21,15.378
8/20/2013,18:36,15.664
8/20/2013,18:51,15.855
8/20/2013,19:06,15.664
8/20/2013,19:21,15.951
8/20/2013,19:36,16.427
8/20/2013,19:51,16.713
8/20/2013,20:06,16.903
8/20/2013,20:21,16.999
8/20/2013,20:36,17.284
8/20/2013,20:51,17.284
8/20/2013,21:06,17.189
8/20/2013,21:21,17.284
8/20/2013,21:36,17.284
8/20/2013,21:51,17.379
8/20/2013,22:06,17.379
8/20/2013,22:21,17.379
8/20/2013,22:36,17.665
8/20/2013,22:51,17.76
8/20/2013,23:06,17.76
8/20/2013,23:21,17.475
8/20/2013,23:36,17.284
8/20/2013,23:51,17.189
8/21/2013,0:06,17.189
8/21/2013,0:21,17.189
8/21/2013,0:36,17.189
8/21/2013,0:51,17.094
8/21/2013,1:06,17.094
8/21/2013,1:21,16.999
8/21/2013,1:36,16.903
8/21/2013,1:51,16.903
8/21/2013,2:06,16.808
8/21/2013,2:21,16.713
8/21/2013,2:36,16.618
8/21/2013,2:51,16.523
8/21/2013,3:06,16.141
8/21/2013,3:21,14.709
8/21/2013,3:36,14.709
8/21/2013,3:51,14.804
8/21/2013,4:06,14.804
8/21/2013,4:21,14.804
8/21/2013,4:36,14.804
8/21/2013,4:51,14.804
8/21/2013,5:06,14.804
8/21/2013,5:21,14.804
8/21/2013,5:36,14.804
8/21/2013,5:51,14.996
8/21/2013,6:06,15.664
8/21/2013,6:21,16.141
8/21/2013,6:36,16.332
8/21/2013,6:51,16.523
8/21/2013,7:06,16.332
8/21/2013,7:21,16.523
8/21/2013,7:36,16.618
8/21/2013,7:51,16.808
8/21/2013,8:06,16.903
8/21/2013,8:21,17.094
8/21/2013,8:36,17.284
8/21/2013,8:51,17.284
8/21/2013,9:06,17.379
8/21/2013,9:21,17.57
8/21/2013,9:36,17.76
8/21/2013,9:51,18.045
8/21/2013,10:06,18.616
8/21/2013,10:21,19.187
8/21/2013,10:36,20.329
8/21/2013,10:51,20.043
8/21/2013,11:06,21.187
8/21/2013,11:21,21.664
8/21/2013,11:36,21.855
8/21/2013,11:51,21.951
8/21/2013,12:06,22.142
8/21/2013,12:21,21.951
8/21/2013,12:36,20.424
8/21/2013,13:06,19.853
8/21/2013,13:21,18.901
8/21/2013,13:36,18.426
8/21/2013,13:51,17.855
8/21/2013,14:06,18.045
8/21/2013,14:21,19.282
8/21/2013,14:36,18.521
8/21/2013,14:51,17.95
8/21/2013,15:06,17.475
8/21/2013,15:21,17.665
8/21/2013,15:36,17.855
8/21/2013,15:51,18.616
8/21/2013,16:06,17.855
8/21/2013,16:21,17.475
8/21/2013,16:36,17.379
8/21/2013,16:51,17.189
8/21/2013,17:06,17.189
8/21/2013,17:21,17.094
8/21/2013,17:36,16.046
8/21/2013,17:51,16.046
8/21/2013,18:06,15.951
8/21/2013,18:21,15.951
8/21/2013,18:36,15.855
8/21/2013,18:51,15.855
8/21/2013,19:06,15.855
8/21/2013,19:21,15.951
8/21/2013,19:36,16.141
8/21/2013,19:51,16.523
8/21/2013,20:06,16.808
8/21/2013,20:21,17.189
8/21/2013,20:36,17.57
8/21/2013,20:51,17.76
8/21/2013,21:06,17.855
8/21/2013,21:21,17.855
8/21/2013,21:36,18.045
8/21/2013,21:51,18.331
8/21/2013,22:06,18.521
8/21/2013,22:21,18.521
8/21/2013,22:36,18.616
8/21/2013,22:51,18.711
8/21/2013,23:06,18.806
8/21/2013,23:21,18.806
8/21/2013,23:36,18.806
8/21/2013,23:51,18.806
8/22/2013,0:06,18.806
8/22/2013,0:21,18.236
8/22/2013,0:36,18.426
8/22/2013,0:51,18.426
8/22/2013,1:06,18.426
8/22/2013,1:21,18.426
8/22/2013,1:36,18.426
8/22/2013,1:51,18.331
8/22/2013,2:06,18.236
8/22/2013,2:21,18.14
8/22/2013,2:36,18.045
8/22/2013,2:51,17.855
8/22/2013,3:06,17.665
8/22/2013,3:21,17.475
8/22/2013,3:36,17.379
8/22/2013,3:51,16.141
8/22/2013,4:06,15.76
8/22/2013,4:21,15.569
8/22/2013,4:36,15.569
8/22/2013,4:51,15.569
8/22/2013,5:06,15.569
8/22/2013,5:21,15.569
8/22/2013,5:36,15.569
8/22/2013,5:51,15.569
8/22/2013,6:06,15.664
8/22/2013,6:21,15.569
8/22/2013,6:36,15.664
8/22/2013,6:51,15.664
8/22/2013,7:06,15.855
8/22/2013,7:21,16.141
8/22/2013,7:36,16.523
8/22/2013,7:51,16.808
8/22/2013,8:06,16.903
8/22/2013,8:21,16.999
8/22/2013,8:36,17.189
8/22/2013,8:51,17.379
8/22/2013,9:06,17.379
8/22/2013,9:21,17.57
8/22/2013,9:36,17.665
8/22/2013,9:51,18.045
8/22/2013,10:06,18.236
8/22/2013,10:21,18.426
8/22/2013,10:36,18.806
8/22/2013,10:51,19.187
8/22/2013,11:06,19.662
8/22/2013,11:21,20.138
8/22/2013,11:36,20.329
8/22/2013,11:51,20.805
8/22/2013,12:06,21.951
8/22/2013,12:21,21.855
8/22/2013,12:36,21.951
8/22/2013,12:51,21.569
8/22/2013,13:06,21.569
8/22/2013,13:21,20.996
8/22/2013,13:36,19.282
8/22/2013,13:51,18.426
8/22/2013,14:06,18.045
8/22/2013,14:21,17.76
8/22/2013,14:36,18.045
8/22/2013,14:51,18.616
8/22/2013,15:06,18.901
8/22/2013,15:21,18.331
8/22/2013,15:36,17.665
8/22/2013,15:51,17.76
8/22/2013,16:06,17.57
8/22/2013,16:21,17.57
8/22/2013,16:36,17.57
8/22/2013,16:51,17.379
8/22/2013,17:06,17.284
8/22/2013,17:21,17.189
8/22/2013,17:36,17.094
8/22/2013,17:51,16.999
8/22/2013,18:06,16.999
8/22/2013,18:21,16.523
8/22/2013,18:36,16.237
8/22/2013,18:51,16.237
8/22/2013,19:06,16.427
8/22/2013,19:21,16.332
8/22/2013,19:36,16.332
8/22/2013,19:51,16.332
8/22/2013,20:06,16.332
8/22/2013,20:21,16.427
8/22/2013,20:36,16.427
8/22/2013,20:51,16.999
8/22/2013,21:06,17.475
8/22/2013,21:21,17.665
8/22/2013,21:36,17.665
8/22/2013,21:51,17.665
