Date,Time,Temp
8/18/2013,12:12,18.806
8/18/2013,12:27,18.711
8/18/2013,12:42,18.616
8/18/2013,12:57,18.711
8/18/2013,13:12,18.331
8/18/2013,13:27,18.045
8/18/2013,13:42,18.045
8/18/2013,13:57,17.95
8/18/2013,14:12,17.855
8/18/2013,14:27,17.855
8/18/2013,14:42,17.855
8/18/2013,14:57,17.855
8/18/2013,15:12,17.855
8/18/2013,15:27,17.855
8/18/2013,15:42,17.76
8/18/2013,15:57,17.665
8/18/2013,16:12,17.57
8/18/2013,16:27,17.57
8/18/2013,16:42,17.475
8/18/2013,16:57,17.475
8/18/2013,17:12,17.379
8/18/2013,17:27,17.379
8/18/2013,17:42,17.379
8/18/2013,17:57,17.379
8/18/2013,18:12,17.379
8/18/2013,18:27,17.379
8/18/2013,18:42,17.379
8/18/2013,18:57,17.379
8/18/2013,19:12,17.379
8/18/2013,19:27,17.379
8/18/2013,19:42,17.475
8/18/2013,19:57,17.855
8/18/2013,20:12,17.855
8/18/2013,20:27,17.76
8/18/2013,20:42,17.855
8/18/2013,20:57,17.855
8/18/2013,21:12,17.855
8/18/2013,21:27,17.855
8/18/2013,21:42,17.76
8/18/2013,21:57,17.855
8/18/2013,22:12,17.855
8/18/2013,22:27,17.76
8/18/2013,22:42,17.855
8/18/2013,22:57,17.855
8/18/2013,23:12,17.855
8/18/2013,23:27,17.855
8/18/2013,23:42,17.76
8/18/2013,23:57,17.76
8/19/2013,0:12,17.76
8/19/2013,0:27,17.76
8/19/2013,0:42,17.76
8/19/2013,0:57,17.665
8/19/2013,1:12,17.665
8/19/2013,1:27,17.665
8/19/2013,1:42,17.475
8/19/2013,1:57,17.379
8/19/2013,2:12,17.379
8/19/2013,2:27,17.379
8/19/2013,2:42,17.379
8/19/2013,2:57,17.379
8/19/2013,3:12,17.379
8/19/2013,3:27,17.379
8/19/2013,3:42,17.475
8/19/2013,3:57,17.475
8/19/2013,4:12,17.475
8/19/2013,4:27,17.475
8/19/2013,4:42,17.475
8/19/2013,4:57,17.475
8/19/2013,5:12,17.475
8/19/2013,5:27,17.475
8/19/2013,5:42,17.57
8/19/2013,5:57,17.76
8/19/2013,6:12,17.855
8/19/2013,6:27,17.95
8/19/2013,6:42,17.855
8/19/2013,6:57,17.855
8/19/2013,7:12,17.95
8/19/2013,7:27,17.95
8/19/2013,7:42,17.95
8/19/2013,7:57,17.95
8/19/2013,8:12,17.95
8/19/2013,8:27,17.95
8/19/2013,8:42,18.045
8/19/2013,8:57,18.045
8/19/2013,9:12,18.14
8/19/2013,9:27,18.236
8/19/2013,9:42,18.236
8/19/2013,9:57,18.426
8/19/2013,10:12,18.996
8/19/2013,10:27,20.805
8/19/2013,10:42,23.484
8/19/2013,10:57,22.812
8/19/2013,11:12,24.835
8/19/2013,11:27,25.028
8/19/2013,11:42,24.641
8/19/2013,11:57,25.416
8/19/2013,12:12,23.004
8/19/2013,12:27,20.138
8/19/2013,12:42,19.092
8/19/2013,12:57,19.092
8/19/2013,13:12,18.901
8/19/2013,13:27,18.711
8/19/2013,13:42,18.901
8/19/2013,13:57,18.711
8/19/2013,14:12,18.426
8/19/2013,14:27,18.14
8/19/2013,14:42,17.95
8/19/2013,14:57,18.045
8/19/2013,15:12,18.045
8/19/2013,15:27,18.045
8/19/2013,15:42,18.045
8/19/2013,15:57,18.14
8/19/2013,16:12,18.14
8/19/2013,16:27,18.045
8/19/2013,16:42,17.95
8/19/2013,16:57,17.855
8/19/2013,17:12,17.855
8/19/2013,17:27,17.76
8/19/2013,17:42,17.665
8/19/2013,17:57,17.665
8/19/2013,18:12,17.57
8/19/2013,18:27,17.57
8/19/2013,18:42,17.57
8/19/2013,18:57,17.57
8/19/2013,19:12,17.57
8/19/2013,19:27,17.57
8/19/2013,19:42,17.57
8/19/2013,19:57,17.665
8/19/2013,20:12,17.855
8/19/2013,20:27,18.045
8/19/2013,20:42,18.045
8/19/2013,20:57,18.045
8/19/2013,21:12,17.95
8/19/2013,21:27,17.95
8/19/2013,21:42,17.95
8/19/2013,21:57,18.045
8/19/2013,22:12,17.95
8/19/2013,22:27,18.045
8/19/2013,22:42,18.045
8/19/2013,22:57,17.95
8/19/2013,23:12,17.95
8/19/2013,23:27,17.95
8/19/2013,23:42,17.95
8/19/2013,23:57,17.95
8/20/2013,0:12,17.855
8/20/2013,0:27,17.855
8/20/2013,0:42,17.95
8/20/2013,0:57,17.855
8/20/2013,1:12,17.95
8/20/2013,1:27,17.95
8/20/2013,1:42,17.855
8/20/2013,1:57,17.95
8/20/2013,2:12,17.95
8/20/2013,2:27,17.95
8/20/2013,2:42,17.855
8/20/2013,2:57,17.665
8/20/2013,3:12,17.665
8/20/2013,3:27,17.665
8/20/2013,3:42,17.665
8/20/2013,3:57,17.665
8/20/2013,4:12,17.665
8/20/2013,4:27,17.665
8/20/2013,4:42,17.665
8/20/2013,4:57,17.665
8/20/2013,5:12,17.665
8/20/2013,5:27,17.665
8/20/2013,5:42,17.665
8/20/2013,5:57,17.665
8/20/2013,6:12,17.665
8/20/2013,6:27,17.76
8/20/2013,6:42,17.76
8/20/2013,6:57,17.76
8/20/2013,7:12,17.76
8/20/2013,7:27,17.855
8/20/2013,7:42,17.95
8/20/2013,7:57,17.95
8/20/2013,8:12,17.95
8/20/2013,8:27,17.95
8/20/2013,8:42,17.95
8/20/2013,8:57,17.855
8/20/2013,9:12,17.95
8/20/2013,9:27,18.045
8/20/2013,9:42,18.14
8/20/2013,9:57,18.14
8/20/2013,10:12,18.236
8/20/2013,10:27,18.331
8/20/2013,10:42,18.616
8/20/2013,10:57,19.187
8/20/2013,11:12,22.429
8/20/2013,11:27,21.569
8/20/2013,11:42,24.255
8/20/2013,11:57,24.545
8/20/2013,12:12,25.028
8/20/2013,12:27,25.902
8/20/2013,12:42,25.513
8/20/2013,12:57,27.272
8/20/2013,13:12,22.046
8/20/2013,13:27,20.424
8/20/2013,13:42,19.758
8/20/2013,13:57,19.758
8/20/2013,14:12,19.472
8/20/2013,14:27,19.377
8/20/2013,14:42,19.282
8/20/2013,14:57,19.092
8/20/2013,15:12,19.187
8/20/2013,15:27,19.187
8/20/2013,15:42,19.282
8/20/2013,15:57,19.377
8/20/2013,16:12,18.521
8/20/2013,16:27,18.045
8/20/2013,16:42,18.045
8/20/2013,16:57,18.045
8/20/2013,17:12,17.95
8/20/2013,17:27,17.95
8/20/2013,17:42,17.95
8/20/2013,17:57,17.95
8/20/2013,18:12,17.855
8/20/2013,18:27,17.855
8/20/2013,18:42,17.665
8/20/2013,18:57,17.665
8/20/2013,19:12,17.665
8/20/2013,19:27,17.665
8/20/2013,19:42,17.665
8/20/2013,19:57,17.76
8/20/2013,20:12,17.76
8/20/2013,20:27,17.76
8/20/2013,20:42,17.855
8/20/2013,20:57,17.95
8/20/2013,21:12,18.236
8/20/2013,21:27,18.14
8/20/2013,21:42,18.045
8/20/2013,21:57,18.045
8/20/2013,22:12,18.14
8/20/2013,22:27,18.14
8/20/2013,22:42,18.236
8/20/2013,22:57,18.14
8/20/2013,23:12,18.331
8/20/2013,23:27,18.521
