Date,Time,Temp
8/21/2013,15:15,14.9
8/21/2013,15:30,14.709
8/21/2013,15:45,14.325
8/21/2013,16:00,14.038
8/21/2013,16:15,13.942
8/21/2013,16:30,13.654
8/21/2013,16:45,13.365
8/21/2013,17:00,13.269
8/21/2013,17:15,13.269
8/21/2013,17:30,13.269
8/21/2013,17:45,13.269
8/21/2013,18:00,13.269
8/21/2013,18:15,13.269
8/21/2013,18:30,13.173
8/21/2013,18:45,13.076
8/21/2013,19:00,13.076
8/21/2013,19:15,12.98
8/21/2013,19:30,12.883
8/21/2013,19:45,12.787
8/21/2013,20:00,12.787
8/21/2013,20:15,12.787
8/21/2013,20:30,12.787
8/21/2013,20:45,12.787
8/21/2013,21:00,12.787
8/21/2013,21:15,12.787
8/21/2013,21:30,12.787
8/21/2013,21:45,12.787
8/21/2013,22:00,12.787
8/21/2013,22:15,12.883
8/21/2013,22:30,12.883
8/21/2013,22:45,12.883
8/21/2013,23:00,12.883
8/21/2013,23:15,12.883
8/21/2013,23:30,12.883
8/21/2013,23:45,12.883
8/22/2013,0:00,12.98
8/22/2013,0:15,13.076
8/22/2013,0:30,13.173
8/22/2013,0:45,13.173
8/22/2013,1:00,13.173
8/22/2013,1:15,13.173
8/22/2013,1:30,13.269
8/22/2013,1:45,13.269
8/22/2013,2:00,13.269
8/22/2013,2:15,13.269
8/22/2013,2:30,13.269
8/22/2013,2:45,13.269
8/22/2013,3:00,13.269
8/22/2013,3:15,13.269
8/22/2013,3:30,13.269
8/22/2013,3:45,13.269
8/22/2013,4:00,13.269
8/22/2013,4:15,13.269
8/22/2013,4:30,13.269
8/22/2013,4:45,13.365
8/22/2013,5:00,13.269
8/22/2013,5:15,13.365
8/22/2013,5:30,13.365
8/22/2013,5:45,13.365
8/22/2013,6:00,13.269
8/22/2013,6:15,13.173
8/22/2013,6:30,13.076
8/22/2013,6:45,13.076
8/22/2013,7:00,12.98
8/22/2013,7:15,12.98
8/22/2013,7:30,12.98
8/22/2013,7:45,12.883
8/22/2013,8:00,12.98
8/22/2013,8:15,12.98
8/22/2013,8:30,13.076
8/22/2013,8:45,13.076
8/22/2013,9:00,13.173
8/22/2013,9:15,13.269
8/22/2013,9:30,13.461
8/22/2013,9:45,13.558
8/22/2013,10:00,13.846
8/22/2013,10:15,13.846
8/22/2013,10:30,13.846
8/22/2013,10:45,14.325
8/22/2013,11:00,14.9
8/22/2013,11:15,14.996
8/22/2013,11:30,15.282
8/22/2013,11:45,15.855
8/22/2013,12:00,16.427
8/22/2013,12:15,17.094
8/22/2013,12:30,17.855
8/22/2013,12:45,18.045
8/22/2013,13:00,17.379
8/22/2013,13:15,16.713
8/22/2013,13:30,16.046
8/22/2013,13:45,16.427
8/22/2013,14:00,15.855
8/22/2013,14:15,15.664
8/22/2013,14:30,15.76
8/22/2013,14:45,15.378
8/22/2013,15:00,15.091
8/22/2013,15:15,14.9
8/22/2013,15:30,14.613
8/22/2013,15:45,14.517
8/22/2013,16:00,14.517
8/22/2013,16:15,14.23
8/22/2013,16:30,14.134
8/22/2013,16:45,13.846
8/22/2013,17:00,13.558
8/22/2013,17:15,13.461
8/22/2013,17:30,13.461
8/22/2013,17:45,13.173
8/22/2013,18:00,13.076
8/22/2013,18:15,12.98
8/22/2013,18:30,12.98
8/22/2013,18:45,12.98
8/22/2013,19:00,12.883
8/22/2013,19:15,12.98
8/22/2013,19:30,12.883
8/22/2013,19:45,12.883
8/22/2013,20:00,12.883
8/22/2013,20:15,12.883
8/22/2013,20:30,12.883
8/22/2013,20:45,12.883
8/22/2013,21:00,12.883
8/22/2013,21:15,12.883
8/22/2013,21:30,12.883
8/22/2013,21:45,12.883
8/22/2013,22:00,12.883
8/22/2013,22:15,12.883
8/22/2013,22:30,12.883
8/22/2013,22:45,12.883
8/22/2013,23:00,12.883
8/22/2013,23:15,12.883
8/22/2013,23:30,12.883
8/22/2013,23:45,12.883
8/23/2013,0:00,12.883
8/23/2013,0:15,12.98
8/23/2013,0:30,12.98
8/23/2013,0:45,12.98
8/23/2013,1:00,12.98
8/23/2013,1:15,13.173
8/23/2013,1:30,13.269
8/23/2013,1:45,13.365
8/23/2013,2:00,13.461
8/23/2013,2:15,13.558
8/23/2013,2:30,13.654
8/23/2013,2:45,13.654
8/23/2013,3:00,13.654
8/23/2013,3:15,13.75
8/23/2013,3:30,13.75
8/23/2013,3:45,13.75
8/23/2013,4:00,13.75
8/23/2013,4:15,13.75
8/23/2013,4:30,13.75
8/23/2013,4:45,13.654
8/23/2013,5:00,13.654
8/23/2013,5:15,13.654
8/23/2013,5:30,13.654
8/23/2013,5:45,13.654
8/23/2013,6:00,13.654
8/23/2013,6:15,13.461
8/23/2013,6:30,13.173
8/23/2013,6:45,12.98
8/23/2013,7:00,12.98
8/23/2013,7:15,12.98
8/23/2013,7:30,12.98
8/23/2013,7:45,12.98
8/23/2013,8:00,12.98
8/23/2013,8:15,12.98
8/23/2013,8:30,12.98
8/23/2013,8:45,12.98
8/23/2013,9:00,13.076
8/23/2013,9:15,12.98
8/23/2013,9:30,13.076
8/23/2013,9:45,13.173
8/23/2013,10:00,13.269
8/23/2013,10:15,13.269
8/23/2013,10:30,13.461
8/23/2013,10:45,13.365
8/23/2013,11:00,13.461
8/23/2013,11:15,13.558
8/23/2013,11:30,13.558
8/23/2013,11:45,14.038
8/23/2013,12:00,14.421
8/23/2013,12:15,14.709
8/23/2013,12:30,14.996
8/23/2013,12:45,15.473
8/23/2013,13:00,15.76
8/23/2013,13:15,15.855
8/23/2013,13:30,15.855
8/23/2013,13:45,15.855
8/23/2013,14:00,16.046
8/23/2013,14:15,15.187
8/23/2013,14:30,14.9
8/23/2013,14:45,14.996
8/23/2013,15:00,14.9
8/23/2013,15:15,14.9
8/23/2013,15:30,14.804
8/23/2013,15:45,14.804
8/23/2013,16:00,14.613
8/23/2013,16:15,14.421
8/23/2013,16:30,14.421
8/23/2013,16:45,14.325
8/23/2013,17:00,14.23
8/23/2013,17:15,14.134
8/23/2013,17:30,13.846
8/23/2013,17:45,13.461
8/23/2013,18:00,13.269
8/23/2013,18:15,13.173
8/23/2013,18:30,13.173
8/23/2013,18:45,13.076
8/23/2013,19:00,13.076
8/23/2013,19:15,12.98
8/23/2013,19:30,12.98
8/23/2013,19:45,12.98
8/23/2013,20:00,12.883
8/23/2013,20:15,12.883
8/23/2013,20:30,12.883
8/23/2013,20:45,12.883
8/23/2013,21:00,12.883
8/23/2013,21:15,12.883
8/23/2013,21:30,12.883
8/23/2013,21:45,12.883
8/23/2013,22:00,12.883
8/23/2013,22:15,12.883
8/23/2013,22:30,12.883
8/23/2013,22:45,12.883
8/23/2013,23:00,12.883
8/23/2013,23:15,12.883
8/23/2013,23:30,12.883
8/23/2013,23:45,12.883
8/24/2013,0:00,12.883
8/24/2013,0:15,12.883
8/24/2013,0:30,12.883
8/24/2013,0:45,12.883
8/24/2013,1:00,12.883
8/24/2013,1:15,12.883
8/24/2013,1:30,13.173
8/24/2013,1:45,13.173
8/24/2013,2:00,13.173
8/24/2013,2:15,13.269
8/24/2013,2:30,13.269
8/24/2013,2:45,13.269
8/24/2013,3:00,13.269
8/24/2013,3:15,13.269
8/24/2013,3:30,13.269
8/24/2013,3:45,13.269
8/24/2013,4:00,13.269
8/24/2013,4:15,13.269
8/24/2013,4:30,13.365
8/24/2013,4:45,13.365
8/24/2013,5:00,13.365
8/24/2013,5:15,13.365
8/24/2013,5:30,13.461
8/24/2013,5:45,13.461
8/24/2013,6:00,13.558
8/24/2013,6:15,13.558
8/24/2013,6:30,13.558
8/24/2013,6:45,13.558
8/24/2013,7:00,13.558
8/24/2013,7:15,13.365
8/24/2013,7:30,13.173
8/24/2013,7:45,13.076
8/24/2013,8:00,12.98
8/24/2013,8:15,12.98
8/24/2013,8:30,13.076
8/24/2013,8:45,12.98
8/24/2013,9:00,13.076
8/24/2013,9:15,12.98
8/24/2013,9:30,12.98
8/24/2013,9:45,12.98
8/24/2013,10:00,12.98
8/24/2013,10:15,12.98
8/24/2013,10:30,13.076
8/24/2013,10:45,13.076
8/24/2013,11:00,13.173
8/24/2013,11:15,13.461
8/24/2013,11:30,13.558
8/24/2013,11:45,13.654
8/24/2013,12:00,13.75
8/24/2013,12:15,13.942
8/24/2013,12:30,14.325
8/24/2013,12:45,14.421
8/24/2013,13:00,14.9
8/24/2013,13:15,14.996
8/24/2013,13:30,14.804
8/24/2013,13:45,14.23
8/24/2013,14:00,14.23
8/24/2013,14:15,14.23
8/24/2013,14:30,14.134
8/24/2013,14:45,14.038
8/24/2013,15:00,14.038
8/24/2013,15:15,14.038
8/24/2013,15:30,14.134
8/24/2013,15:45,14.038
8/24/2013,16:00,14.038
8/24/2013,16:15,14.038
8/24/2013,16:30,14.134
8/24/2013,16:45,14.134
8/24/2013,17:00,14.038
8/24/2013,17:15,14.134
8/24/2013,17:30,14.134
8/24/2013,17:45,14.134
8/24/2013,18:00,14.038
8/24/2013,18:15,13.942
8/24/2013,18:30,13.75
8/24/2013,18:45,13.558
8/24/2013,19:00,13.461
8/24/2013,19:15,13.269
8/24/2013,19:30,13.173
8/24/2013,19:45,13.076
8/24/2013,20:00,13.076
8/24/2013,20:15,12.98
8/24/2013,20:30,12.883
8/24/2013,20:45,12.883
8/24/2013,21:00,12.883
8/24/2013,21:15,12.787
8/24/2013,21:30,12.787
8/24/2013,21:45,12.787
8/24/2013,22:00,12.787
8/24/2013,22:15,12.787
8/24/2013,22:30,12.787
8/24/2013,22:45,12.787
8/24/2013,23:00,12.787
8/24/2013,23:15,12.883
8/24/2013,23:30,12.883
8/24/2013,23:45,12.883
8/25/2013,0:00,12.883
8/25/2013,0:15,12.883
8/25/2013,0:30,12.883
8/25/2013,0:45,12.883
8/25/2013,1:00,12.883
8/25/2013,1:15,12.883
8/25/2013,1:30,12.883
8/25/2013,1:45,12.883
8/25/2013,2:00,12.98
8/25/2013,2:15,13.076
8/25/2013,2:30,13.173
8/25/2013,2:45,13.269
8/25/2013,3:00,13.365
8/25/2013,3:15,13.461
8/25/2013,3:30,13.461
8/25/2013,3:45,13.558
8/25/2013,4:00,13.558
8/25/2013,4:15,13.558
8/25/2013,4:30,13.558
8/25/2013,4:45,13.558
8/25/2013,5:00,13.558
8/25/2013,5:15,13.558
8/25/2013,5:30,13.558
8/25/2013,5:45,13.558
8/25/2013,6:00,13.558
8/25/2013,6:15,13.558
8/25/2013,6:30,13.654
8/25/2013,6:45,13.654
8/25/2013,7:00,13.654
8/25/2013,7:15,13.654
8/25/2013,7:30,13.75
8/25/2013,7:45,13.461
8/25/2013,8:00,13.173
8/25/2013,8:15,13.076
8/25/2013,8:30,13.076
8/25/2013,8:45,13.076
8/25/2013,9:00,13.076
8/25/2013,9:15,12.98
8/25/2013,9:30,12.98
8/25/2013,9:45,13.076
8/25/2013,10:00,13.076
8/25/2013,10:15,13.076
8/25/2013,10:30,13.173
8/25/2013,10:45,13.173
8/25/2013,11:00,13.269
8/25/2013,11:15,13.269
8/25/2013,11:30,13.365
8/25/2013,11:45,13.269
8/25/2013,12:00,13.173
8/25/2013,12:15,13.269
8/25/2013,12:30,13.269
8/25/2013,12:45,13.365
8/25/2013,13:00,13.461
8/25/2013,13:15,13.558
8/25/2013,13:30,13.558
8/25/2013,13:45,13.558
8/25/2013,14:00,13.558
8/25/2013,14:15,13.461
8/25/2013,14:30,13.461
8/25/2013,14:45,13.558
8/25/2013,15:00,13.558
8/25/2013,15:15,13.654
8/25/2013,15:30,13.75
8/25/2013,15:45,13.75
8/25/2013,16:00,13.75
8/25/2013,16:15,13.75
8/25/2013,16:30,13.75
8/25/2013,16:45,13.75
8/25/2013,17:00,13.75
8/25/2013,17:15,13.75
8/25/2013,17:30,13.75
8/25/2013,17:45,13.75
8/25/2013,18:00,13.75
8/25/2013,18:15,13.75
8/25/2013,18:30,13.75
8/25/2013,18:45,13.75
8/25/2013,19:00,13.75
8/25/2013,19:15,13.75
8/25/2013,19:30,13.75
8/25/2013,19:45,13.558
8/25/2013,20:00,13.269
8/25/2013,20:15,13.173
8/25/2013,20:30,12.98
8/25/2013,20:45,12.883
8/25/2013,21:00,12.787
8/25/2013,21:15,12.787
8/25/2013,21:30,12.883
8/25/2013,21:45,12.883
8/25/2013,22:00,12.787
8/25/2013,22:15,12.787
8/25/2013,22:30,12.787
8/25/2013,22:45,12.787
8/25/2013,23:00,12.787
8/25/2013,23:15,12.787
8/25/2013,23:30,12.787
8/25/2013,23:45,12.883
8/26/2013,0:00,12.883
8/26/2013,0:15,12.883
8/26/2013,0:30,12.883
8/26/2013,0:45,12.883
8/26/2013,1:00,12.883
8/26/2013,1:15,12.883
8/26/2013,1:30,12.98
8/26/2013,1:45,12.98
8/26/2013,2:00,12.98
8/26/2013,2:15,12.98
8/26/2013,2:30,12.98
8/26/2013,2:45,12.98
8/26/2013,3:00,13.076
8/26/2013,3:15,13.173
8/26/2013,3:30,13.269
8/26/2013,3:45,13.269
8/26/2013,4:00,13.365
8/26/2013,4:15,13.365
8/26/2013,4:30,13.461
8/26/2013,4:45,13.461
8/26/2013,5:00,13.558
8/26/2013,5:15,13.654
8/26/2013,5:30,13.654
8/26/2013,5:45,13.75
8/26/2013,6:00,13.75
8/26/2013,6:15,13.75
8/26/2013,6:30,13.75
8/26/2013,6:45,13.75
8/26/2013,7:00,13.75
8/26/2013,7:15,13.846
8/26/2013,7:30,13.75
8/26/2013,7:45,13.75
8/26/2013,8:00,13.846
8/26/2013,8:15,13.75
8/26/2013,8:30,13.75
8/26/2013,8:45,13.654
8/26/2013,9:00,13.558
8/26/2013,9:15,13.269
8/26/2013,9:30,13.269
8/26/2013,9:45,13.269
8/26/2013,10:00,13.269
8/26/2013,10:15,13.269
8/26/2013,10:30,13.269
8/26/2013,10:45,13.269
8/26/2013,11:00,13.365
8/26/2013,11:15,13.365
8/26/2013,11:30,13.365
8/26/2013,11:45,13.365
8/26/2013,12:00,13.365
8/26/2013,12:15,13.461
8/26/2013,12:30,13.461
8/26/2013,12:45,13.461
8/26/2013,13:00,13.461
8/26/2013,13:15,13.461
8/26/2013,13:30,13.558
8/26/2013,13:45,13.75
8/26/2013,14:00,13.654
8/26/2013,14:15,13.558
8/26/2013,14:30,13.461
8/26/2013,14:45,13.461
8/26/2013,15:00,13.558
